"","QSLinkID","BlackSpruce0","BlackSpruce10","BlackSpruce100","BlackSpruce120","BlackSpruce140","BlackSpruce20","BlackSpruce40","BlackSpruce60","BlackSpruce80","Deciduous0","Deciduous10","Deciduous100","Deciduous120","Deciduous140","Deciduous20","Deciduous40","Deciduous60","Deciduous80","DeciduousCC10","DeciduousCC20","DeciduousCC40","Mixedwood0","Mixedwood10","Mixedwood100","Mixedwood120","Mixedwood140","Mixedwood20","Mixedwood40","Mixedwood60","Mixedwood80","MixedwoodCC10","MixedwoodCC20","MixedwoodCC40","MixedwoodUP40","Pine10","Pine100","Pine120","Pine140","Pine40","Pine60","Pine80","PineCC0","PineCC10","WhiteSpruce0","WhiteSpruce10","WhiteSpruce100","WhiteSpruce120","WhiteSpruce140","WhiteSpruce60","WhiteSpruce80","WhiteSpruceCC10","WhiteSpruceCC20","WhiteSpruceCC40","Borrow.Pits.Dugouts.Sumps","Cultivation..Crop.Pasture.Bare.Ground.","Cutblock","Industrial.Site.Rural","Mine.Site","Peat.Mine","Pipeline","Road..Vegetated.Verge","Road.Trail..Vegetated.","Rural..Residential.Industrial.","Seismic.line","Transmission.Line","Well.Site"
"1","4-13-70-19-NW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.17458335532e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","4-13-70-30-NW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.99952826503e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.25645963136e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.32408638897e-09,0,0
"3","4-13-71-7-SW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.74786135188e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","4-14-70-1-NE",0,0,0,0,0,0,0,0,13.37375218041,0,0,0,0,0,0,0,0,2.70944597265,0,10.4065182135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.0647290054745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.4065150406,0,0,0,0,0,0,0,0.2597633981991,0,0
"5","4-14-70-1-NW",0,0,0,0,0,0,0,0,4.9895166763313,0,0,0,0,0,0,0,0,0,0,3.99155592399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.404756421682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.99155419802,0,0,0,0,0,0,0,0,0,0
"6","4-14-70-1-SE",0,0,2.77052747352,0,0,0,0,0,18.9414167146243,0,0,0,0,0,0,0,0,0.463924498491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.134824924765,0.219336340352,0,0,0,0,0,0,0,0,0,0,0,0,0,0.219336914167,0,0,0,0,0,0,0,0.58455584730109,0,0
"7","4-14-70-1-SW",0,0,0,0,0,0,0,0,12.657399435309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.0821528433905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2344454534172,0,0
"8","4-14-70-10-NE",0,0,2.4813142231,0,0,0,0,4.921584309436,14.750990706872,0,0,0,0,0,0,0,0,4.433642157722,0,33.7326911947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.24373892527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.7326932667,0,0,0,0,0,0,0,0,0,0
"9","4-14-70-10-NW",0,0,18.6034447923293,0.741686458375,0,0,0,0,10.4077241253753,0,0,0,0,0,0,0,0,1.03787128399,0,24.7895166246624,0,0,0,0,0,0,0,0,0,1.38830709771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.7895157330909,0,0,0,0,0,0,0,0.3227435020107,0,0
"10","4-14-70-10-SE",0,0,6.27739643413312,0,0,0,0,40.6557609204695,17.199510410469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.388093762884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3186794047185,0,0
