"","QSLinkID","BlackSpruce0","BlackSpruce10","BlackSpruce100","BlackSpruce120","BlackSpruce140","BlackSpruce20","BlackSpruce40","BlackSpruce60","BlackSpruce80","Deciduous0","Deciduous10","Deciduous100","Deciduous120","Deciduous140","Deciduous20","Deciduous40","Deciduous60","Deciduous80","DeciduousCC20","DeciduousCC40","DeciduousCC60","Mixedwood0","Mixedwood10","Mixedwood100","Mixedwood120","Mixedwood140","Mixedwood20","Mixedwood40","Mixedwood60","Mixedwood80","MixedwoodCC20","MixedwoodCC40","MixedwoodCC60","MixedwoodUP60","Pine100","Pine120","Pine140","Pine20","Pine40","Pine60","Pine80","PineCC0","PineCC10","WhiteSpruce0","WhiteSpruce10","WhiteSpruce100","WhiteSpruce120","WhiteSpruce140","WhiteSpruce20","WhiteSpruce60","WhiteSpruce80","WhiteSpruceCC20","WhiteSpruceCC40","WhiteSpruceCC60","Borrow.Pits.Dugouts.Sumps","Cultivation..Crop.Pasture.Bare.Ground.","Cutblock","Industrial.Site.Rural","Mine.Site","Peat.Mine","Pipeline","Road..Vegetated.Verge","Road.Trail..Vegetated.","Rural..Residential.Industrial.","Seismic.line","Transmission.Line","Well.Site"
"13","4-14-70-11-NW",0,0,0.888066737208,0,0,0,0,0,15.3807088325027,0,0,9.312777416998,0,0,0,0,0,15.6125330158622,16.9106477599,0,0,0,0,0,0,0,0.000188836147074,0,0,0.100419859961,0,0,0,0,0,0,0,0,0,0,1.74355150475,0,0,0,0,0,1.62185601574,0,0,0,0,0,0,0,0,0,16.910646420904,0,0,0,0,0,0,0,0,0,0
"14","4-14-70-11-SE",0,0,15.41789969074,0,0,0,0,0,12.241409470767,0,0,0,0,0,0,0,0,0,14.49208781887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.8520618105803,0,0,0,0,0,0,0,0.000305408152561,0,0,0,0,0,0,0,14.49208823222,0,0,0,0,0,0,0,0.47343279532177,0,0
"15","4-14-70-11-SW",0,0,14.0404628173527,0,0,0,0,0,26.911951696677,0,0,0.0396368812406,0,0,0,0,0,0,1.03035193038151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.138937160259,0,0,0,0,0,17.74772287022,0,0,0,0,0,0,0,2.46682097677e-05,0,0,0,0,0,0,0,1.03034909598478,0,0,0,0,0,0,0,0.2373926371912,0,0
"16","4-14-70-12-NE",0,0,5.81783308753,3.841351367625,0,0,0,0,4.69199057857,0,0,0,0.532782780688,0,0,0,0,0.878786693913,22.5689704099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.5689704323,0,0,0,0,0,0,0,0.1621882054897,0,0
"17","4-14-70-12-NW",0,0,13.644950057961,3.1394503142,0,0,0,0,23.0769336464766,0,0,0,0,0,0,0,0,0.482250102182,13.024048202952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.504111830731,0,9.735115749422,0,0,0,0,0,0,0,0,13.024048072677,0,0,0,0,0,0,0,0,0,0
"18","4-14-70-12-SE",0,0,3.284591467105,5.0328040517279,0,0,0,0,0.162883130294,0,0,4.83706094529,0.0359354995964,0,0,0,0,3.6246001154,39.1454103285,0.000232219888403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.395106075213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.1456437733391,0,0,0,0,0,0,0,0.408971334168,0,0
"19","4-14-70-12-SW",0,0,7.501396996651,1.150613968618,0,0,0,0,19.2986878159085,0,0,0.105171598848,0,0,0,0,0,0,20.7622106025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.335039413271,0,0,0,0,7.07844395949,0,0,0,0,0,0,0,0,0,0,20.7622088664,0,0,0,0,0,0,0,0.2449627116297,0,0
"20","4-14-70-13-NE",0,0,0,3.62580389166,0,0,0,0,5.2500655564113,0,0,34.8751083619012,0,0,0,0,0.281516087694,0,0,0,1.21350101317,0,0,0,0,0,0,0,0,0,0,0,0,0,0.133211872852,5.076429629994,0,0,0,0,3.166869452913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.21349691391,0,0,0,0,0,0.00469404578827,0,0.2418443504138,0,0
"21","4-14-70-13-NW",0,0,0,0,0,0,0,0,0.0295437558836,0,0,11.938206900926,0,0,0,0,0,0,31.318165031542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.786357774576,0,0,0,0,0,5.6995589766692,1.0301599229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.69774162261,0,0,0,0,0,0,0,0.249956283164,0,0
"22","4-14-70-13-SE",0,0,0.00106041347976,0.390078197033,0,0,0,0,4.87107581787,0,0,30.521975078494,0,0,0,0,0,2.682410077322,13.56767835077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.56768259492,0,0,0,0,0,0.00216449595688,0,0.71418276693621,0,0
