"","QSLinkID","BlackSpruce0","BlackSpruce10","BlackSpruce100","BlackSpruce120","BlackSpruce140","BlackSpruce20","BlackSpruce40","BlackSpruce60","BlackSpruce80","Deciduous0","Deciduous10","Deciduous100","Deciduous120","Deciduous140","Deciduous20","Deciduous40","Deciduous60","Deciduous80","DeciduousCC10","DeciduousCC20","DeciduousCC40","Mixedwood0","Mixedwood10","Mixedwood100","Mixedwood120","Mixedwood140","Mixedwood20","Mixedwood40","Mixedwood60","Mixedwood80","MixedwoodCC10","MixedwoodCC20","MixedwoodCC40","MixedwoodUP10","MixedwoodUP20","MixedwoodUP40","Pine10","Pine100","Pine120","Pine140","Pine40","Pine60","Pine80","PineCC0","PineCC40","WhiteSpruce0","WhiteSpruce10","WhiteSpruce100","WhiteSpruce120","WhiteSpruce140","WhiteSpruce20","WhiteSpruce40","WhiteSpruce60","WhiteSpruce80","WhiteSpruceCC10","WhiteSpruceCC20","WhiteSpruceCC40","Borrow.Pits.Dugouts.Sumps","Cultivation..Crop.Pasture.Bare.Ground.","Cutblock","Industrial.Site.Rural","Mine.Site","Municipal..Water.and.Sewage.","Other.Disturbed.Vegetation","Peat.Mine","Pipeline","Reservoirs","Road..Hard.Surface","Road..Vegetated.Verge","Road.Trail..Vegetated.","Rural..Residential.Industrial.","Seismic.line","Transmission.Line","Well.Site"
"12","4-20-77-11-SW",0,0,35.20078669001,22.71045981286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2639471567942,0,0
"13","4-20-77-12-NE",0,0,48.675213274584,0,3.370549507074,0,0,5.122215859593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2265791414011,0,0,0,0,0,0.469878566951,0,0.197485801473
"14","4-20-77-12-NW",0,0,18.2785255363397,12.6991718897058,0,0,0,32.40862167378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0430974227979,0,0,0,0,0,0.6037841819575,0,0
"15","4-20-77-12-SE",0,0,60.1182580527,3.77774571822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.339328425407,0,0,0,0,0,0,0,0
"16","4-20-77-12-SW",0,0,48.30923357191,8.31609112545,0,0,0,7.25853171961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.450066817047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.415817978986,0,0,0,0,0,0,0,0
"17","4-20-77-13-NE",0,0,46.66470011,8.7761201722,0.227233748205,0,0,4.26577350376,1.11166505255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0630486137325,0,0,0,0,0,0.3749384161258,0,0
"18","4-20-77-13-NW",0,0,24.376450902804,28.3623870044478,0,0,0,0,2.513508044569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.674003216593,0,0,0,0,0,0,0,0
"19","4-20-77-13-SE",0,0,40.6745740982833,8.285752043013,0.376686729372,0,0,2.725736889507,0,0,0,0,0.213022304444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1547615425928,0,0,0,0,0,0.0679034783166,0,0
"20","4-20-77-13-SW",0,0,25.6280390506457,22.3467145132489,0,0,0,0.585584364256,8.873805127365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.69549477702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5882769503361,0,0,0,0,0,0.23220768469563,0,0
"21","4-20-77-14-NE",0,0,10.5915847534964,3.425957113739,10.3981624286,0,0,0,0.468847539643,0,0,0,0,0,0,0,0,3.231896335466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.605798468796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0939810307978,0,0
"22","4-20-77-14-NW",0,0,19.345143471712,18.35364926704,7.82690596694,0,0,0,3.803222817421,0,0,0,0,0,0,0,0,2.834188206275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.311160052588,0,0,0,0,0,0.0589146559966,0,0.33615850066
"23","4-20-77-14-SE",0,0,18.760411074767,14.941629668168,0.624366444767,0,0,0,0.720722473519,0,0,0,0,0,0,0,0,0.837634044306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3475086819383,0,0
"24","4-20-77-14-SW",0,0,28.7996277778138,3.8773748833361,2.9037472737815,0,0,0,16.015145544643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3291868619798,0,0
"25","4-20-77-15-NE",0,0,6.498247698795,0.00503980817396,45.7131765875,0,0,0,1.13936305301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.287947931739,0,0
"26","4-20-77-15-NW",0,0,15.6858051772419,1.60521324849,13.8839585127293,0,0,19.5451364045446,2.01244938267625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0055349102241,0,0,0,0,0,0.559063151495,0,0
"27","4-20-77-15-SE",0,0,6.9198640512212,12.019783310732,4.258666353697,0,0,11.865109399617,3.71385341867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.124121604504,0,0
"28","4-20-77-15-SW",0,0,7.1379062406159,0.890472898904,2.119096038787,0,0,15.2924084295753,28.6583726051227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.146540306656,0,0,0,0,0,0.2678441311272,0,0.358925512174
"29","4-20-77-16-NE",0,0,0,0,0,0,0,38.017839779245,10.630979007483,0,0,0,0,0,0,0,0,2.29840578075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.942686292674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.441184192256,0,0
"30","4-20-77-16-NW",0,0,0.4251193024182,0,0,0,0,44.340850519197,1.380531742745,0,0,0,0,0,0,0,0,3.3518713544273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.570218082471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4624343916227,0,0
"31","4-20-77-16-SE",0,0,0.972737092385,0,0,0,0,21.28962748204,22.971360694928,0,0,0,0,0,0,0,0.895733995385,4.232166339718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.176669137645,0,0,0,6.018456736353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21787941632422,0,0.285510553057
"32","4-20-77-16-SW",0,0,3.15644168932,5.4523856283056,0,0,0,30.7592474535703,16.503239592687,0,0,0,0,0,0,0,5.075954091831,1.39195099290299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0359315810287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2832882994022,0,0
"33","4-20-77-17-NE",0,0,4.033348234095,0.2808565994,0,0,0,28.067030761561,32.275640838685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.26227617018e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.482400653988,0,0
"34","4-20-77-17-NW",0,0,0,16.42656828744,5.018644481891,0,0,1.8023807025293,21.238844001332,0,0,0,0,0,0,0,0,10.7827950317784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.710337357513,0,0,0,0,0,0.1882441508045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6824866755825,0,0
