"","QSLinkID","BlackSpruce0","BlackSpruce10","BlackSpruce100","BlackSpruce120","BlackSpruce140","BlackSpruce20","BlackSpruce40","BlackSpruce60","BlackSpruce80","Deciduous0","Deciduous10","Deciduous100","Deciduous120","Deciduous140","Deciduous20","Deciduous40","Deciduous60","Deciduous80","DeciduousCC0","DeciduousCC10","DeciduousCC20","DeciduousCC40","Mixedwood0","Mixedwood10","Mixedwood100","Mixedwood120","Mixedwood140","Mixedwood20","Mixedwood40","Mixedwood60","Mixedwood80","MixedwoodCC0","MixedwoodCC10","MixedwoodCC20","MixedwoodCC40","MixedwoodUP0","MixedwoodUP10","NA.","Pine0","Pine10","Pine100","Pine120","Pine140","Pine20","Pine40","Pine60","Pine80","WhiteSpruce0","WhiteSpruce10","WhiteSpruce100","WhiteSpruce120","WhiteSpruce140","WhiteSpruce20","WhiteSpruce40","WhiteSpruce60","WhiteSpruce80","WhiteSpruceCC10","WhiteSpruceCC20","WhiteSpruceCC40","Borrow.Pits.Dugouts.Sumps","Cutblock","Industrial.Site.Rural","Mine.Site","Other.Disturbed.Vegetation","Pipeline","Road..Hard.Surface","Road..Vegetated.Verge","Road.Trail..Vegetated.","Rural..Residential.Industrial.","Seismic.line","Transmission.Line","Urban","Well.Site"
"27","4-19-95-14-SW",0,0,3.8831388547,0,0,0,24.0760976101,6.934295756807,0,0,0,0,0,0,0,0,3.38424745365,1.169128374809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.382759330528,14.965527887176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.441321385267,0,0,0
"28","4-19-95-15-NE",0,0,0.207369492207,0,0,0,0,5.3531928374794,0.346727144485,0,0,0,0,0,0,0,56.49562656892,2.476620210752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0658681319308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.51526787729466,0,0,0
"29","4-19-95-15-NW",0,0,0,0,0,0,0.965053034247,6.783669967459,0.389593825079,0,0,0,0,0,0,0,45.60676636529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.8181599007136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.527218971885193,0,0,0
"30","4-19-95-15-SE",0,0,0,0,0,0,0,9.1958701747998,0.742122123063,0,0,0,0,0,0,0,16.167455777485,0.74587977053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.303866595818,31.696102662958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2973659125711,0,0,0
"31","4-19-95-15-SW",0,0,0,0,0,0,0.256113172409,22.725476023701,0.656396990151,0,0,0,0,0,0,0,29.4085982420961,4.42690980266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.26197442902,6.50547695292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"32","4-19-95-16-NE",0,0,0,0,0,0,0,18.69965433541,4.9485697253485,0,0,0,0,0,0,0,28.046625673436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.080482518247,5.17074375574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1777796108664,0,0,0
"33","4-19-95-16-NW",0,0,1.48630692078,0,0,0,0,0.726184915463,4.46206856449,0,0,0,0,0,0,0,41.8324316381551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.3141305026,5.41406999156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34","4-19-95-16-SE",0,0,1.04783761181097,0,0,0,0,5.28917527944,0.647944882111,0,0,0,0,0,0,0,38.2102669740183,20.95182812513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4022988907624,0,0,0
"35","4-19-95-16-SW",0,0,8.6680447612944,0,0,0,0,0.907892508136,0.872557533866,0,0,0,0,0,0,0,30.2247595031683,27.5684769667069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5344075052718,0,0,0
"36","4-19-95-17-NE",0,0,0.0657428601675,0,0,0,0.0590731875415,31.37307663301,15.896125413536,0,0,0,0,0,0,0,16.9527094843341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37","4-19-95-17-NW",0,0,0,0,0,0,0.711321770268,39.9087129855668,2.62153950908,0,0,0,0,0,0,0,11.825999068475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0533021105063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7243926021905,0,0,0
"38","4-19-95-17-SE",0,0,14.776288755681,0.861997070133,0,0,4.5379109649596,15.847031829099,2.729315384185,0,0,1.211899834605,0,0,0,0,13.19486450056,12.121900416984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.30257170376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5291174033924,0,0,0
"39","4-19-95-17-SW",0,0,1.861156299041,0,0,0,31.106720629155,21.974515652178,0,0,0,0,0,0,0,0,7.75040157264167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5499454150064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.71005246532622,0,0,0
