"","QSLinkID","BlackSpruce100","BlackSpruce120","BlackSpruce140","BlackSpruce20","BlackSpruce40","BlackSpruce60","BlackSpruce80","Deciduous0","Deciduous10","Deciduous100","Deciduous120","Deciduous140","Deciduous20","Deciduous40","Deciduous60","Deciduous80","DeciduousCC0","DeciduousCC10","DeciduousCC20","DeciduousCC40","Mixedwood0","Mixedwood10","Mixedwood100","Mixedwood120","Mixedwood140","Mixedwood20","Mixedwood40","Mixedwood60","Mixedwood80","MixedwoodCC0","MixedwoodCC10","MixedwoodCC20","MixedwoodCC40","Pine100","Pine120","Pine140","Pine20","Pine40","Pine60","Pine80","PineCC0","PineCC10","WhiteSpruce0","WhiteSpruce10","WhiteSpruce100","WhiteSpruce120","WhiteSpruce140","WhiteSpruce20","WhiteSpruce40","WhiteSpruce60","WhiteSpruce80","WhiteSpruceCC0","WhiteSpruceCC10","WhiteSpruceCC20","WhiteSpruceCC40","Borrow.Pits.Dugouts.Sumps","Cultivation..Crop.Pasture.Bare.Ground.","Cutblock","Industrial.Site.Rural","Mine.Site","Other.Disturbed.Vegetation","Pipeline","Road..Hard.Surface","Road..Vegetated.Verge","Road.Trail..Vegetated.","Rural..Residential.Industrial.","Seismic.line","Transmission.Line","Well.Site"
"11","5-1-90-11-NW",5.670659097627,0,0,0,0,0,0,0,0,2.23568643175,0,0,0,0,13.859688462705,0,0,0,0,0,0,0.106610178475264,0,0,0,0,0.90712437984,31.6040280015289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.61826822234,0,0,0,0,3.8119643913396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9153232941474,0,0
"12","5-1-90-11-SE",0,0,0,0,0,0,2.96620536387,0,0,0,0.204368146283,0,0,11.9744417866,31.43824859454,0,0,0,0,0,0,0,4.37141066962,0,0,0,0,1.54237390875,5.1272865340529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.16393506611,1.71480519167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48882721299105,0,0
"13","5-1-90-11-SW",0,2.21475923892,0,0,0,6.857141238284,8.38726537296,0,0,0,5.27347298485,0,0,0.198421463721777,27.019173719939,0,0,0,0,0,0,0,0,0,0,0,0,12.4369436360924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.73457198678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09076569820907,0,0
"14","5-1-90-12-NE",0.277537831721,0.17842019657,0,0,0,5.408275404685,45.61835940927,0,0,0,0,0,0,0,0,5.29437280592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.744293537234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.481247526535,0,0
"15","5-1-90-12-NW",33.02641998903,3.024396423528,0,0,0,2.533586335218,22.86669656787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.80903588926561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.845800130365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81113395975988,0,0
"16","5-1-90-12-SE",0,0,0,0,0,7.1399357534033,17.74933860786,0,0,0,0,12.6364078432,0,0,5.84015332644,0,0,0,0,0,0,0,0,0,0,0,0,0,15.1365088812,0,0,0,0,0,0,0,0,0,0,0.414536997901,0,0,0,0,1.260091300333,3.8772854404,0,0,0,0.444118526967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.481350382303,0,0
"17","5-1-90-12-SW",0.000243229425965,0,0,0,0,1.938512622205,2.52412495979,0,0,0,0,4.343181603051,0,0,1.642697782678,0,0,0,0,0,0,0,0,0,0,0,0,0,48.522037145058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.13939647686,5.0111605580659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8131345079103,0,0
"18","5-1-90-13-NE",0,0,0,0,0,1.10355280487,3.369407989834,0,1.833304399386,0,0,0,0,18.1782239759,19.34555581991,0.615168449466,0,0,1.60057167376,0,0,0,2.21811197416,0,0,0,0,0,3.793338951488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.898517825835,0,0,4.34144129547,0,0,0,0,0,0,0,1.60057130412,0,0,0,0,0,0,0,0,0.954813247488,0,0
"19","5-1-90-13-NW",3.604163877307,0,0,0,0,42.835552429701,0.00125900875233,0,2.524229033545,1.38532978178,0,0,0,3.027566798721,3.94639158566,0,0,0,4.9462115952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00253039947,0,0,0,0,0,0,0,0,4.94621158693,0,0,0,0,0,0,0,0,0.913611653419504,0,0
"20","5-1-90-13-SE",0,2.47913193714,0,0,0,6.396214001864,25.3212789550511,0,0,0,0,0,0,0,0.387770120746,21.297616131578,0,0,0,0,0,0,0,0,0,0,0,10.19662968347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.02471032973,0,0
