"","QSLinkID","BlackSpruce0","BlackSpruce10","BlackSpruce100","BlackSpruce120","BlackSpruce140","BlackSpruce20","BlackSpruce40","BlackSpruce60","BlackSpruce80","Deciduous0","Deciduous10","Deciduous100","Deciduous120","Deciduous140","Deciduous20","Deciduous40","Deciduous60","Deciduous80","DeciduousCC40","DeciduousCC60","DeciduousCC80","Mixedwood0","Mixedwood10","Mixedwood100","Mixedwood120","Mixedwood140","Mixedwood20","Mixedwood40","Mixedwood60","Mixedwood80","MixedwoodCC100","MixedwoodCC40","MixedwoodCC60","MixedwoodCC80","MixedwoodUP40","MixedwoodUP60","MixedwoodUP80","NA.","Pine100","Pine120","Pine140","Pine40","Pine60","Pine80","PineCC0","PineCC10","PineCC20","PineCC40","PineCC60","PineCC80","WhiteSpruce0","WhiteSpruce10","WhiteSpruce100","WhiteSpruce120","WhiteSpruce140","WhiteSpruce20","WhiteSpruce40","WhiteSpruce60","WhiteSpruce80","WhiteSpruceCC40","WhiteSpruceCC60","WhiteSpruceCC80","Borrow.Pits.Dugouts.Sumps","Cultivation..Crop.Pasture.Bare.Ground.","Cutblock","Industrial.Site.Rural","Mine.Site","Pipeline","Rail..Hard.Surface","Rail..Vegetated.Verge","Road..Hard.Surface","Road..Vegetated.Verge","Road.Trail..Vegetated.","Rural..Residential.Industrial.","Seismic.line","Transmission.Line","Well.Site"
"12","4-10-67-33-NE",0,0,0,16.2900468478046,13.6053564611045,0,0,0,0,0.00319823383844,2.65533136167,0,3.628701637572,1.851437311037,0,0,0,0,0,0,0,2.01651231024427,4.50121492132,0,0.280129717665,7.58136029070351,0,0,0,0,0,0,0.0168605750488,0,0,0,0,0,0,0.187870080787,0,0,0,0,0,0,2.28175073128,3.40317201551146,0,0,2.598396463907,0,0,0,2.09922280854856,0,0,0,0,0,0,0,0,0,13.394276184876,0,0,0,0,0,0,0,0,0,0.7675508634866,0,0
"13","4-10-67-33-NW",0,0,0,11.107278337438,3.55509239364792,0,0,0,0,0.1222118170632,0.7596635970137,0,12.8561030190249,0,0,0,0.0823549876999,0,0,0,0,2.202451163361,0,1.0343903075939,8.524219568496,0,0,0,0,0,0,0,0.226346570448,6.364906138592,0,0,0,0,0,11.31944846594,0,0,0,0,0,0,0,3.52763920848554,0,0,0,0,0,0.388108181576,1.38113081846,0,0,0,0,0,0,0,0,0,13.2032180517337,0,0,0,0,0,0,0,0,0,0.626752653898673,0,0
"14","4-10-67-33-SE",0,0,0,1.55321333683,4.04977484235,0,0,0,0,20.091239722293,5.27227320941,0,3.91888194139,10.6274869847,0,0,0,0,0,0,0,1.70558426286,3.90904300755,0,0,2.84183314841,0,0,0,0,0,0,2.55690003993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.26544505844,0,0,0.466051717572,4.390208946325,0,0,0,0,0,0,0,0,0,31.829458466839,0,0,0,0,0,0,0,0,0,0.14674875835144,0,0
"15","4-10-67-33-SW",0,0,0,0,0,0,0,0,0,20.4444735625669,15.053277899526,0,15.4474624043389,0,0,0,0,0,0,0,0,3.2611248994451,0,0,1.05423213553763,1.3018592261743,0,0,0,0,0,0,1.17375780052,2.6280054888865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.27162840977,1.01863079884,0,0,0,0,0,0,0,0,0,39.2995184234847,0,0,0,0,0,0,0,0,0,0.12004186893991,0,0
"16","4-10-67-34-NW",0,0,0,0,0,0,0,0,0,0,0,0,0.000489488496234,0.000233679066999,0,0,0,0,0,0,0,0,0,0,0,0.000800236404945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001040231051017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09309164105e-05,0,0
"17","4-10-67-34-SW",0,0,0,0,0,0,0,0,0,2.23339936905e-05,0,0,0,0.000184865493848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.25116009839e-05,0,0,0,0,0,0,0,0,0,0,0,0
"18","4-10-68-10-NE",0,0,0,9.583576197378,32.8079941171,0,0,0,0,1.817845617176,0,0,5.34379922203,0,0,0,0,0,0,5.55826385614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.425403239837,0,0,0,0,0,0,0,0,0,0,0,0,0,3.03029663902,0,0,0,0,0,0,0,0,0,7.376109866925,0,0,0,0,0,0,0,0,0,0.380028811973555,0,0
"19","4-10-68-10-NW",0,0,0.1392921118596,20.2303376317252,21.1990873945606,0,0,0,0,5.623245009055,0,0,0.278163165203,0,0,0,0,0,0,0.54102798059038,0,1.6718262309,0,0,0,0,0,0,0,0,0,0,4.74458063647,0,0,0,0,0,0,0,5.412199284653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02015024985432,0,0,0,0,0,0,0,10.908853959276,0,0,0,0,0,0,0,0,0,0.207623886961507,0,0
"20","4-10-68-10-SW",0,0,0,0.00239846449428,0.000621279295597,0,0,0,0,0.00200912969658,0,0,0,0,0,0,0,0,0,0,0,0.000691722207435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00362549532235,0,0,0,0,0,0,0,0,0,0.002609984876836,0,0,0,0,0,0,9.22135395758e-05,0,0,0,0,0
"21","4-10-68-11-NW",0,0,0,0,0.0006561683282347,0,0,0,0,0,0,0,0.000393287223555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.52564432765e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22","4-10-68-13-NE",0,0,2.405154829632,0.483737022903,11.327382424456,0,0,0,0,0,32.296385487073,0.639485722248,0,0,0,0,0,0,0,0,0,0,13.425625457426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.25275281001,0,0,0,0,0.9635333232985,0,0,0,0,0,0,0,0,0,0,0,0,44.790099470859,0,0,0,0,0,0,0,0,0,0.247441357505,0,0
