"","QSLinkID","BlackSpruce0","BlackSpruce10","BlackSpruce100","BlackSpruce120","BlackSpruce140","BlackSpruce20","BlackSpruce40","BlackSpruce60","BlackSpruce80","Deciduous0","Deciduous10","Deciduous100","Deciduous120","Deciduous140","Deciduous20","Deciduous40","Deciduous60","Deciduous80","DeciduousCC10","DeciduousCC20","DeciduousCC40","Mixedwood0","Mixedwood10","Mixedwood100","Mixedwood120","Mixedwood140","Mixedwood20","Mixedwood40","Mixedwood60","Mixedwood80","MixedwoodCC10","MixedwoodCC20","MixedwoodCC40","MixedwoodUP10","MixedwoodUP20","NA.","Pine10","Pine100","Pine120","Pine140","Pine20","Pine40","Pine60","Pine80","PineCC0","PineCC10","WhiteSpruce0","WhiteSpruce10","WhiteSpruce100","WhiteSpruce120","WhiteSpruce140","WhiteSpruce20","WhiteSpruce40","WhiteSpruce60","WhiteSpruce80","WhiteSpruceCC20","WhiteSpruceCC40","Borrow.Pits.Dugouts.Sumps","Cutblock","Industrial.Site.Rural","Mine.Site","Other.Disturbed.Vegetation","Pipeline","Road..Hard.Surface","Road..Vegetated.Verge","Road.Trail..Vegetated.","Rural..Residential.Industrial.","Seismic.line","Transmission.Line","Urban","Well.Site"
"16","4-19-95-12-NE",0,0,7.335110999309,0,0,0,0,2.03957052592,7.2171747550906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.60716461073,0,0,0,0,0,0,0,0,0,0,0,0,0,0.184842509248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17","4-19-95-12-NW",0,0,8.13728951317,0,0,0,0,0,10.480826821708,0,0,11.676963497532,0,0,0,0,0,3.325094698918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.18503917263,0,0,0,0,0,24.7944933812658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18","4-19-95-12-SE",0,0,0.443433433845,0,0,0,0,0.0293271017813,8.76503089899797,0,0,0,0,0,0,0,0,1.342444834199,0,0,0,0,0,0,0,0,0,0,0,15.622961366812,0,0,0,0,0,0,0,0,0,0,0,0,0,16.515021373134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19","4-19-95-12-SW",0,0,3.11443531661,0,0,0,0,0,35.709200702443,0,0,0,0,0,0,0,0,4.93869003645453,0,0,0,0,0,0,0,0,0,0,2.9005632089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.1395900657904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20","4-19-95-13-NE",0,0,2.71002020092,1.62258965956,0,0,0,9.25278999550563,3.8743664027,0,0,9.93096948738,2.90748259244,0,0,0,0,7.97397221858,0,0,0,0,0,0,0,0,0,0,0,5.28040017093,0,0,0,0,0,0,0,10.795624611487,0,0,0,0,0,0.241520638155,0,0,0,0,0,3.781760290617,0,0,0,0,3.08233839146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21","4-19-95-13-NW",0,0,0.97356947212715,0,1.64054210958,0,0,1.09117557136,16.4272053955007,0,0,26.679157656501,0,0,0,0,0,5.46683151882,0,0,0,0,0,0,0,0,0,0,0,0.86638490426436,0,0,0,0,0,0,0,2.791230641327,0,0,0,0,0,3.41853840491,0,0,0,0,1.5429500455554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22","4-19-95-13-SE",0,0,0,0,0,0,0,0.4291514400082,2.89071768392,2.87163258879,0,8.66636592325,0,0,0,0,0,0.0190492611557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.95646204455,0,0,0,0,0,1.151382362137,17.56486566906,0,0,0,0,0,0,0,0,0,0,0,0,0,20.43649249442,0,0,0,0,0,0,0,0,0,0,0,0
"23","4-19-95-13-SW",0,0,13.1192985640993,0,0,0,0,0,5.75075382311,3.39690681159,0,8.8564957416608,0,0,0,7.043450248422,0,2.36144835832,0,0,0,0,0,0,0,0,0,2.64976593834,0,1.86736731383875,0,0,0,0,0,0,0,3.2378576916982,0,0,0,0,0,12.8649882068892,0.203581325032,0,0,0,0,0,0,0,0,0,0,0,0,0,3.600488136614,0,0,0,0,0,0,0,0,0,0,0,0
"24","4-19-95-14-NE",0,0,7.454501631731,1.21783933045,0,0,0,9.32147880139,12.9937408703057,0,0,11.6456985893483,0,0,0,0,0,3.65082089997,0,0,0,0,0,0,0,0,0,0,0,5.9183124586345,0,0,0,0,0,0,0,0,0,0,0,0,0,7.72968204854,0,0,0,0,0.26804339463,0,0,0,0,0,1.59982210131,0,0,0,0,0,0,0,0,0,0,0,0,0.379824362671,0,0,0
"25","4-19-95-14-NW",0,0,7.302807879798,0.413960462251,0,0,0,0.366728507119,5.370398539075,0,0,20.756838486461,0,0,0,0,0,15.8996689821653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.046814183649,0,0,0,0,0,8.18897288242,0,0,0,0,1.639407946,0,0,0,0,0,0,0,0,0,0,0,0,0.2994934539578,0,0,0
