"","QSLinkID","BlackSpruce0","BlackSpruce10","BlackSpruce100","BlackSpruce120","BlackSpruce140","BlackSpruce20","BlackSpruce40","BlackSpruce60","BlackSpruce80","Deciduous0","Deciduous10","Deciduous100","Deciduous120","Deciduous140","Deciduous20","Deciduous40","Deciduous60","Deciduous80","DeciduousCC40","DeciduousCC60","DeciduousCC80","Mixedwood0","Mixedwood10","Mixedwood100","Mixedwood120","Mixedwood140","Mixedwood20","Mixedwood40","Mixedwood60","Mixedwood80","MixedwoodCC40","MixedwoodCC60","MixedwoodCC80","Pine100","Pine120","Pine140","Pine40","Pine60","Pine80","PineCC0","PineCC10","PineCC20","PineCC40","PineCC80","WhiteSpruce0","WhiteSpruce10","WhiteSpruce100","WhiteSpruce120","WhiteSpruce140","WhiteSpruce20","WhiteSpruce40","WhiteSpruce60","WhiteSpruce80","WhiteSpruceCC60","WhiteSpruceCC80","Borrow.Pits.Dugouts.Sumps","Cutblock","Industrial.Site.Rural","Other.Disturbed.Vegetation","Pipeline","Road..Hard.Surface","Road..Vegetated.Verge","Road.Trail..Vegetated.","Rural..Residential.Industrial.","Seismic.line","Transmission.Line","Well.Site"
"12","5-1-84-11-SE",0,0,0,11.5796819558933,7.3065816967533,0,0,0,0,0,0,0,11.81476417458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.3774159536685,0,0,0,0,0,0,0.613748572507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6137485725,0,0,0,0,0,0,0,0,0,0
"13","5-1-84-11-SW",0,0,0,10.720915849767,17.4066080067098,0,0,0,0,0,0,0,14.380012298167,0,0,0,0,0.861383721403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17177683179,15.5693004876464,0,0,0,0,0,0,0,2.79997470474,0,0,0,0,0,0,0,0,0,0,0,0,0,2.79997470474,0,0,0,0,0,0,0,0,0,0
"14","5-1-84-12-NE",0,0,0,3.424918673818,12.29522729001,0,0,0,0,0,0,0,41.096550550285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.86914671804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.74852326303691,0,0
"15","5-1-84-12-NW",0,0,0,0.0722308184516,2.275903974056,0,0,0,0,13.405305952567,0,0,44.1074569010764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0340636631394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.405305952578,0,0,0,0,0,0,0,0.53677231548107,0,0
"16","5-1-84-12-SE",0,0,0,11.3553479926832,7.286007159978,0,0,0,0,0,0,0,30.221900367719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5945330849066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23022222083,0,0
"17","5-1-84-12-SW",0,0,0,3.576420450847,2.611909162277,0,0,0,0,0,0,0,35.1108295310796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.4802429845575,0,0,0,0,0,0,0,7.82679881209,0,0,0,0,0,0,0,0,0,0,0,0,0,7.82679881208,0,0,0,0,0,0,0,0.0730730955523,0,1.00157267904
"18","5-1-84-13-NE",0,0,0,6.633846038469,9.502652315118,0,0,0,0,13.143683149276,0,0.637069952637,10.071271614335,0,0,0,0,3.88775614451,0,0,0,0,0,0,1.387935906192,0,0,0,0,0,0,0,0,0,4.289576215184,0,0,0,0,0,0,0,2.3522491806392,0,0,0,0,0,0,0,0,0,0,0,0,0,15.4959306939865,0,0,0,0,0,0,0,0.311632683653,0,0
"19","5-1-84-13-NW",0,0,0,10.640223858548,14.8326313450052,0,0,0,0,14.719882416019,0,0,7.15881186436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.92584584616,0,0,0,0,0,0,0,4.930639113756,0,0,0,0,0,0,0,0,0,0,0,0,0,19.650523324277,0,0,0,0,0,0,0,0.1967901538952,0,0
"20","5-1-84-13-SE",0,0,0,1.543620148163,0,0,0,0,0,9.194221187201,0,0,46.5210013636819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.340246313122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.194221187215,0,0,0,0,0,0,0,0,0,0
"21","5-1-84-13-SW",0,0,0,3.50395619279,0,0,0,0,0,55.907628307345,0,0,6.0950031452444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.781194449733,0,0,0,0,0,0,0,0.0836606365906,0,0.1264338576
"22","5-1-84-14-NE",0,0,0,1.507254295,7.019892059613,0,0,0,0,26.674761787818,0,2.107128225813,10.5683716232473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.72826861872,0,0,0,0,0,0,0,0,0.627653835527,0,0,0,0,0,0,0,0,0,0,0,0,0,27.302415623351,0,0,0,0,0,0,0,0.0712233446722,0,0
"23","5-1-84-14-NW",0,0,0,0,6.411483498328,0,0,0,0,29.965028017748,0,1.44714891071,16.710649177207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.489534283152,0.254838163589402,1.72851196223,0,0,0,0,0,1.30900817536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.237690137827,0,0,0,0,0,0,0,0.2263299337275,0,0.0751480759275
