"","QSLinkID","BlackSpruce0","BlackSpruce10","BlackSpruce100","BlackSpruce120","BlackSpruce140","BlackSpruce20","BlackSpruce40","BlackSpruce60","BlackSpruce80","Deciduous0","Deciduous10","Deciduous100","Deciduous120","Deciduous140","Deciduous20","Deciduous40","Deciduous60","Deciduous80","DeciduousCC0","DeciduousCC10","DeciduousCC20","DeciduousCC40","Mixedwood0","Mixedwood10","Mixedwood100","Mixedwood120","Mixedwood140","Mixedwood20","Mixedwood40","Mixedwood60","Mixedwood80","MixedwoodCC0","MixedwoodCC10","MixedwoodCC20","MixedwoodCC40","MixedwoodUP0","MixedwoodUP10","MixedwoodUP20","MixedwoodUP40","NA.","Pine0","Pine10","Pine100","Pine120","Pine140","Pine20","Pine40","Pine60","Pine80","PineCC0","PineCC10","PineCC20","PineCC40","WhiteSpruce0","WhiteSpruce10","WhiteSpruce100","WhiteSpruce120","WhiteSpruce140","WhiteSpruce20","WhiteSpruce40","WhiteSpruce60","WhiteSpruce80","WhiteSpruceCC0","WhiteSpruceCC10","WhiteSpruceCC20","WhiteSpruceCC40","Borrow.Pits.Dugouts.Sumps","Cultivation..Crop.Pasture.Bare.Ground.","Cutblock","Industrial.Site.Rural","Mine.Site","Pipeline","Rail..Hard.Surface","Rail..Vegetated.Verge","Road..Hard.Surface","Road..Vegetated.Verge","Road.Trail..Vegetated.","Rural..Residential.Industrial.","Seismic.line","Transmission.Line","Well.Site"
"2958","4-13-69-2-NE",0,0,0,0,0,0,0,0,4.535065299995,0,0.0303305896903,0,0,0,0,0,41.0991875892574,1.90825568120126,0,3.18286630723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.18286206351,0,0,0.782480017266,0,0,0,0,0.0821228837794167,0,0.27817580412397,0,0
"2959","4-13-69-2-NW",0,0,0,0,0,0,0,0,3.214750897762,0,0.0248619825602,0,0,0,0,0,3.39499266071167,26.92391201858,0,18.9449941206,0,0,0,0,0,0,0,0,0,0,1.45819835329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.9449941206,0,0,0,0,0,0,0,0,0,0.00921379450056,0,0
"2960","4-13-69-2-SE",0,0,0,0,0,0,0,0,0.986696035744,0,0.01267200593803,0,0,0,0,0.832195770312,17.892037796915,25.8541352499207,0,3.418102980604,0,0,0,0,2.21099617181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.418102980604,0,0,0.8763538157939,0,0,0,0,0,0,0.5332397955703,0,0.999891327487
"2961","4-13-69-2-SW",0,0,8.6756206531557,0,0,0,0,0,16.1928055400011,0,0,0,0,0,0.013263984501225,0,11.3348253014895,15.3980867639423,0,0,4.0268780191478,0,0,0,1.321224143781,0,0,0,0,0.23558187623167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0268780191283,0,0,0,0,0,0,0,0,0,0.2236141505309,0,0
"2962","4-13-69-20-NE",0,0,1.58452260095,0,0,0,0,0.399181854313,2.852555269939,0,0,0,0,0,0.00985995501996,0,0,21.299486660418,0,0,4.46090266507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.168297659297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.42262215079,0,0,0.545064945594,0,0,0,0,0.284747198602,0,0.3346956291922,0,0
"2963","4-13-69-20-NW",0,0,0.1106567150687,0,0,0,0,0,3.0823986985235,0,0,0,0,0,0.054022266333756,0,0,15.7646089116359,0,0,16.5185052050805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.379577941861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.0583217934824,0,0,0.837151558284,0,0,0,0,0.46840182849,0,0.1191639928163,0,0.864416605634
"2964","4-13-69-20-SE",0,0,0.00297879170675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00915535818502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02249395713086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2965","4-13-69-20-SW",0,0,0.002333084959967,0,0,0,0,0,0.015145828123075,0,0,0,0,0,0,0,0,0.010376436341654,0,0,0,0,0,5.47601841666e-06,0,0,0,0,0,0,0,0,0,0.00310120386841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00310120386841,0,0,0.000353455339167,0,0,0,0,0.000680008346532,0,1.53883704253e-05,0,0
"2966","4-13-69-21-NE",0,0,1.96656630703,0,0,0,0,0,20.192376659446,0,0,0,0,0,0.0100768358926,0,0.00483041632141,5.583018583414,0,0,2.98385239828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.077587543168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.98385239828,0,0,0,0,0,0,0,0.097067243774,0,0.37635882485354,0,0
"2967","4-13-69-21-NW",0,0,0,0,0,0,0,0.023425341237,6.96768687538,0,0,0,0,0,0.007181721369931,0,0,7.9890649562132,0,0,0.827998263701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.5888619575951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.756198000958,0,0,0.743996619316,0,0,0,0,0.3429752707361,0,0.42550399169921,0,0
"2968","4-13-69-21-SE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00208018011265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021392349633595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000535870630141,0,0.000338704006153,0,0
"2969","4-13-69-21-SW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0131966219895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017840744693147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2970","4-13-69-22-NE",0,0,0,0,0,0,0,0.00178067469306,0,0,0,0,0,0,0.004050747392,0,0,0.04076830869244,0,0,0.00477508947892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000746382708215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00477508947892,0,0,0,0,0,0,0,0.000584768589899,0,6.669173642828e-05,0,0
"2971","4-13-69-22-NW",0,0,0,0,0,0,0,7.71968008994,2.1568850876239,0,0,0,0,0,0.048866307582166,0,11.1378814652799,11.578930071511,0,0,20.263172404008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.4276109611514,0,0,0,0,0,0,0,0,0,0,0,0,0.390992498005,0,0,0,0,0,0,19.413157935512,0,0,0,0,0,0,0,1.0009854432405,0,0.0600857771722216,0,0
"2972","4-13-69-22-SW",0,0,0,0,0,0,0,0,0.00229940440873,0,0,0,0,0,0,0,0,0.00176053241449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018278314958788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.71313497675e-05,0,0,0,0
"2973","4-13-69-23-NE",0,0,0,0,0,0,0,0,7.44004186497,0,0.03781662369047,0,0,0,0,0,0.00309010498436,26.8766897789814,0,0,12.48531861464,0,0,0,0,0,0,0,0.00476520717884,2.104332876703,2.4601400691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.48531861465,0,0,0.446476832211,0,0,0,0,0,0,0.205339202754941,0,0
"2974","4-13-69-23-NW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000436756187416,0,0.00561037848566,0.0239223793717545,0,0,0.000113544716698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000113544716698,0,0,0.00156166306482,0,0,0,0,0,0,0.000178145346229,0,0
