"","QSLinkID","BlackSpruce0","BlackSpruce10","BlackSpruce100","BlackSpruce120","BlackSpruce140","BlackSpruce20","BlackSpruce40","BlackSpruce60","BlackSpruce80","Deciduous0","Deciduous10","Deciduous100","Deciduous120","Deciduous140","Deciduous20","Deciduous40","Deciduous60","Deciduous80","DeciduousCC40","DeciduousCC60","DeciduousCC80","Mixedwood0","Mixedwood10","Mixedwood100","Mixedwood120","Mixedwood140","Mixedwood20","Mixedwood40","Mixedwood60","Mixedwood80","MixedwoodCC40","MixedwoodCC60","MixedwoodCC80","MixedwoodUP80","Pine100","Pine120","Pine140","Pine40","Pine80","PineCC0","PineCC10","PineCC20","PineCC40","WhiteSpruce0","WhiteSpruce10","WhiteSpruce100","WhiteSpruce120","WhiteSpruce140","WhiteSpruce20","WhiteSpruce40","WhiteSpruceCC40","WhiteSpruceCC60","WhiteSpruceCC80","Borrow.Pits.Dugouts.Sumps","Cultivation..Crop.Pasture.Bare.Ground.","Cutblock","Industrial.Site.Rural","Mine.Site","Peat.Mine","Pipeline","Road..Vegetated.Verge","Road.Trail..Vegetated.","Rural..Residential.Industrial.","Seismic.line","Transmission.Line","Well.Site"
"15","4-14-70-11-SW",0,0,6.74878511584,20.163166580796,14.040462817416,0,0,0,0,0,0,0,0,0,0,0.0396368812421,0,0,0,1.03035193038151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.26347579073,0,0,0,0,0,0,7.62318423974,0,0,0,0,0,0,2.46682097677e-05,0,0,0,0,0,8.6931702170071,0,0,0,0,0,0,0,0.2373926370558,0,0
"16","4-14-70-12-NE",0,0,0,4.69199057857,9.659184455155,0,0,0,0,0,0,0,0.878786693913,0.532782780688,0,0,0,0,0,22.5689704099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.5689704324,0,0,0,0,0,0,0,0.1621882054904,0,0
"17","4-14-70-12-NW",0,0,0,23.0769336464766,16.784400372161,0,0,0,0,0,0.482251673963,0,0,0,0,0,0,0,0,13.024047248712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.735115129232,0,0,0.504111830731,0,0,0,0,0,0,0,13.506298815442,0,0,0,0,0,0,0,0,0,0
"18","4-14-70-12-SE",0,0,0,2.374636370859,6.1056422782679,0,0,0,0,0,0,0,8.46166106069,0.0359354995964,0,0,0,0,0,39.1456425483884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.395106075213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.1456437734392,0,0,0,0,0,0,0,0.4089713341496,0,0
"19","4-14-70-12-SW",0,0,0,19.2986878159085,8.652010965269,0,0,0,0,0,0,0,0.105171598848,0,0,0,0,0,0,20.7622106025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.335039413271,0,0,0,0,0,0,0,0,0,0,0,7.07844395949,0,0,0,0,0,0,0,20.7622088664,0,0,0,0,0,0,0,0.2449627116981,0,0
"20","4-14-70-13-NE",0,0,0,5.2500643517913,3.62580389166,0,0,0,0,0,0.0304538069303,0,6.508502657563,0,28.3361518976,0,0,0.281516087676,0,0,1.21350898877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.646692727408,0.438050588472,0,0,4.638377977006,1.65337996977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.8718587452758,0,0,0,0,0,0.00469404578919,0,0.2040669713232,0,0
"21","4-14-70-13-NW",0,0,0,0.0295437558903,0,0,0,0,0,0,0,0,3.374887696046,0,8.56331814664,0,0,0,0,31.318153716582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.7251989372052,0,0,0,0,1.0301599229,3.76073018738,0,0,0,0,0,0,0,0,0,0,0,0,0,36.02179199645,0,0,0,0,0,0,0,0.0698703898374,0,0
"22","4-14-70-13-SE",0,0,0,4.87107581787,0.39113861051276,0,0,0,0,0,0,0,33.204385155816,0,0,0,0,0,0,13.56767835077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.56768259505,0,0,0,0,0,0.00216449874945,0,0.71418276692166,0,0
"23","4-14-70-13-SW",0,0,0,6.461713193532,7.258333485491,0,0,0,0,0,0,0,16.5896831634574,0,0,0,0,0,0,18.6534658808204,0,0,0,0,0,3.15746751716,0,0,0,0,0,0,0,0,0,3.215435355023,0,0,0,0,0,0,0,0,0,0,0,2.763808889603,0,0,0,0,0,0,0,18.6534701025153,0,0,0,0,0,0,0,0.236473359952709,0,0
"24","4-14-70-14-NE",0,0,0,0,0,0,0,0,0,4.502915689869,0,0,6.0323709323408,0,0,0,0,0,0,32.841171944136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.251647012762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.850169452389,0,0,0,0,0,0,0,0.1098235313002,0,0
"25","4-14-70-14-NW",0,0,0,0.69106285923,0,0,0,0,0,17.275212359055,6.989429471388,0,5.9911922176812,0,7.8251082871727,0,0,0,0,17.60910211519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.54361615154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.698852281947,0,0,0,0,0,0,0,0.0352768163519,0,0
"26","4-14-70-14-SE",0,0,0,2.43637803738,0,0,0,0,0,5.470894532374,0,0,11.7816189970008,0,0,0,0,0,0,22.56805648318,0,0,0,0,0.00572812502861,0,0,0,0,0,0,0,0,0,0,18.4334890411927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.038958573547,0,0,0,0,0,0,0,0.695008279462665,0,0
"27","4-14-70-14-SW",0,0,0,0,0,0,0,0,0,3.528819412655,2.97211838732,0.996144265126,3.9545999285564,0,18.238412166917,0,0,0,0,22.2092793171643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0789367918462,0,0,0,0,0,0,0,0,0,0,0.814047451674,0,0,0,0,0,0,0,0,46.6905750852701,0,0,0,0,0,0.110023856242,0,0.04587346967086,0,0.953177031903
"28","4-14-70-15-NE",0,0,0,7.786734002068,5.05270932996,0,0,0,0,16.18327111904,6.8788369766,1.01050756907,2.85403918154,0,1.97834366166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.118869328484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.04045175734,0,0,0,0,0,0,0,0.0445089216488,0,0
"29","4-14-70-15-NW",0,0,0,8.78408263375552,1.483050263842,0,0,0,0,1.20631222449501,0,0,0.491554353364,0,11.0804799048,4.825699332436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.511183765552,0,0,0,0.0247564387438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.1372479005359,0,0,0,0,0,0,0,0,0,0
"30","4-14-70-15-SE",0,0,0,2.05179169707,0,0,0,0,0,0,0,0,15.0825411088576,0,26.0454804573,0,0,0,0,10.17825712813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.757470475441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.2237395343,0,0,0,0,0,0,0,0.295523936940754,0,0
"31","4-14-70-15-SW",0,0,0,3.81859463307,0.0182149676828,0,0,0,0,0,0,0,29.2372266558056,0,1.85656262877,11.039033591641,0,0,0,6.7711812893457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.6284708027489,0,0,0,0,0,0,0,0.582113968403,0,0.147572318764
"32","4-14-70-16-NE",0,0,0,5.717570831284,0,0,0,0,0,3.84828338434,0,0,0.716821704145,0,10.1689478257,4.34444550674696,0,0,3.78286543961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.544586104278,0,0,0,9.42909552554,0,0,0,0.0142723720128,0,0,0,0,0,0,0,0,0,0,0,31.57352616336,0,0,0,0,0,0,0,0,0,0
"33","4-14-70-16-NW",0,0,0,16.1285086512363,1.07758932048,0,0,0,0,0,0,8.167438610207,0.870878072595,0,0,0.001141518523354,0,0,19.3490867471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.631495256887,0,0,0,0,0,0,0,0,0,0,0,19.3490900076,0,0,0,0,0,0,0,0.0431818556499,0,0
"34","4-14-70-16-SE",0,0,1.56780045699,0.231708037971,0.823958073138,0,0,0,0,3.05958407000395,0,0,14.34043966124,0,2.89486512169,9.19522722675,0,0,0,0.06320493751107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6372127899493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.449256290537,0,14.7640886721412,0,0,0,0,0,0,0,0.169710617611,0,0
"35","4-14-70-16-SW",0,0,17.0210264409,16.9089224265499,0.4043324279492,0,0,0,0,2.287870807301,0,7.0209062986,4.4798111964073,0,2.09291329265,0,0,0,0.292888604491,0,0,0,0,0,0,1.058853415704,0,0,0,0,0,0,0,0,0,0.91457998775712,0,0,0,0,0,0,0,0,0,0,0,1.04961357202,0,0,0,0,0,0,0,4.6736725873812,0,0,0,0,0,0,0,0.27476224056103,0,0.159943197912
"36","4-14-70-17-NE",0,0,0.117618637126,38.9598627829376,0,0,0,0,0,0,0,0.199833748771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.46192708447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0541999869789,0,0
"37","4-14-70-17-NW",0,0,0.899759462283,18.8686591029476,34.1730448028429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.4263257571871,0,0,0,0,0,1.2815951787526,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2815951787262,0,0,0,0,0,0,0,0.38551295882,0,0
"38","4-14-70-17-SE",0,0,3.39158897465,40.373236575846,2.69257895685272,0,0,0,0,0,0,0,2.96101333661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.953562779584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.463322852721,0,0
