"","QSLinkID","BlackSpruce0","BlackSpruce10","BlackSpruce100","BlackSpruce120","BlackSpruce140","BlackSpruce20","BlackSpruce40","BlackSpruce60","BlackSpruce80","Deciduous0","Deciduous10","Deciduous100","Deciduous120","Deciduous140","Deciduous20","Deciduous40","Deciduous60","Deciduous80","DeciduousCC10","DeciduousCC20","DeciduousCC40","Mixedwood0","Mixedwood10","Mixedwood100","Mixedwood120","Mixedwood140","Mixedwood20","Mixedwood40","Mixedwood60","Mixedwood80","MixedwoodCC10","MixedwoodCC20","MixedwoodCC40","MixedwoodUP40","Pine10","Pine100","Pine120","Pine140","Pine40","Pine60","Pine80","PineCC0","WhiteSpruce0","WhiteSpruce10","WhiteSpruce100","WhiteSpruce120","WhiteSpruce140","WhiteSpruce60","WhiteSpruce80","WhiteSpruceCC10","WhiteSpruceCC20","WhiteSpruceCC40","Borrow.Pits.Dugouts.Sumps","Cultivation..Crop.Pasture.Bare.Ground.","Cutblock","Industrial.Site.Rural","Mine.Site","Peat.Mine","Pipeline","Road..Vegetated.Verge","Road.Trail..Vegetated.","Rural..Residential.Industrial.","Seismic.line","Transmission.Line","Well.Site"
"1","4-13-70-19-NW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1775553306e-05,0,0,0,0,0,0,0,0,0,0,0,0,1.83983548786e-05,0,0,0,0,0,0,0,0,0,0
"2","4-13-70-30-NW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.99952826503e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.25645928636e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.32408622155e-09,0,0
"3","4-13-71-7-SW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.74786135188e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","4-14-70-1-NE",0,0,0,0,0,0,0,0,13.37375218042,0,0,0,0,0,0,0,0,2.70944597264,0,10.4065182135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.0647290054576,0,0,0,0,0,0,0,0,0,0,0,0,0,10.4065150406,0,0,0,0,0,0,0,0.2597633982364,0,0
"5","4-14-70-1-NW",0,0,0,0,0,0,0,0,4.9895166763155,0,0,0,0,0,0,0,0,0,0,3.991555924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.404756421681,0,0,0,0,0,0,0,0,0,0,0,0,0,3.99155419803,0,0,0,0,0,0,0,0,0,0
"6","4-14-70-1-SE",0,0,2.77052747353,0,0,0,0,0,18.9414167145622,0,0,0,0,0,0,0,0,0.463924498485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.219336340351,0,0,0,30.134824924832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.596812786808356,0,0
"7","4-14-70-1-SW",0,0,0,0,0,0,0,0,12.657399435333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.082152843286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2344454534206,0,0
"8","4-14-70-10-NE",0,0,2.4813142231,0,0,0,0,4.921584309461,14.750990706896,0,0,0,0,0,0,0,0,4.433642157705,0,33.7326911947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.24373892527,0,0,0,0,0,0,0,0,0,0,0,0,0,33.7326932667,0,0,0,0,0,0,0,0,0,0
"9","4-14-70-10-NW",0,0,18.603444792301,0.741686458372,0,0,0,0,10.4077241253731,0,0,0,0,0,0,0,0,1.03787128399,0,24.7895166247627,0,0,0,0,0,0,0,0,0,1.38830709771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.7895157331923,0,0,0,0,0,0,0,0.3227435020215,0,0
"10","4-14-70-10-SE",0,0,6.27739643414795,0,0,0,0,40.655760920563,17.199510410423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.388093762899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3186794047216,0,0
"11","4-14-70-10-SW",0,0,0,7.745843880065,0,0,0,1.39498811659,46.8925472747387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35456741292,0,0
"12","4-14-70-11-NE",0,0,3.6739069204,0,0,0,0,0,0.508520760992,0,0,0,0,0,0,0,0,16.883052485107,0,26.78885162375,0,0,0.000130915209098,0,0,0,0,0,0,3.58639451612,0,0,0,0,0,0,0,0,0,0,0.697101091017,0,0,7.35426860104e-05,4.00540932319,0.593034310349,0.641725583895,0,0,0,0,0,0,0,26.78885627262,0,0,0,0,0,0,0,0.337463633915,0,0
