"","QSLinkID","BlackSpruce0","BlackSpruce10","BlackSpruce100","BlackSpruce120","BlackSpruce140","BlackSpruce40","BlackSpruce60","BlackSpruce80","Deciduous0","Deciduous10","Deciduous100","Deciduous120","Deciduous140","Deciduous20","Deciduous40","Deciduous60","Deciduous80","DeciduousCC20","DeciduousCC40","DeciduousCC60","Mixedwood0","Mixedwood10","Mixedwood100","Mixedwood120","Mixedwood140","Mixedwood20","Mixedwood40","Mixedwood60","Mixedwood80","MixedwoodCC20","MixedwoodCC40","MixedwoodCC60","Pine100","Pine120","Pine140","Pine40","Pine60","Pine80","PineCC0","PineCC10","PineCC20","WhiteSpruce0","WhiteSpruce10","WhiteSpruce100","WhiteSpruce120","WhiteSpruce140","WhiteSpruce20","WhiteSpruce40","WhiteSpruce60","WhiteSpruce80","WhiteSpruceCC20","WhiteSpruceCC40","WhiteSpruceCC60","Borrow.Pits.Dugouts.Sumps","Cultivation..Crop.Pasture.Bare.Ground.","Cutblock","Industrial.Site.Rural","Mine.Site","Other.Disturbed.Vegetation","Pipeline","Road..Hard.Surface","Road..Vegetated.Verge","Road.Trail..Vegetated.","Rural..Residential.Industrial.","Seismic.line","Transmission.Line","Well.Site"
"11","5-1-90-11-NW",0,0,0,5.670659097626,0,0,0,0,16.095374894404,0,0,0,0,0,0,0,0,0,0,0,0,4.4151718696127,0,0,0,0.106610178475264,0,0.907124379835,27.1888561319606,0,0,0,0,0,0,0,0,0,0,0,0,0,3.61826822231,0,0,0,0,0,0,3.8119643913107,0,0,0,0,0,16.095374894417,0,0,0,0,0,0,0,0,0.7142012615806,0,0
"12","5-1-90-11-SE",0,0,2.96620536386,0,0,0,0,0,21.32555806233,0,0,0,0.204368146283,0,0,11.9744417866,10.1126905322,0,0,0,0,4.37141066962,5.1272865341233,0,0,0,0,0,1.54237390872,0,0,0,0,0,0,0,0,0,0,0,0,0,6.87874025777,0,0,0,0,0,0,0,0,0,0,0,0,21.32555806234,0,0,0,0,0,0,0,0,0.29595342125805,0,0
"13","5-1-90-11-SW",0,0,8.38726537295,0,2.21475923892,0,0,6.857141238261,23.9103427057638,0,0,0,5.27347298486,0,0,0.198416452064,3.1088360258,0,0,0,0,8.1242719733301,0,0,0,0,0,0,4.31267166277,0,0,0,0,0,0,0,0,0,0,0,0,0,3.73457198679,0,0,0,0,0,0,0,0,0,0,0,0,23.9103427057548,0,0,0,0,0,0,0,0,0.461895649937,0,0
"14","5-1-90-12-NE",0,0,45.61835940927,0.277537831721,0.17842019657,0,0,5.408275404686,0,0,5.29437280592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.744293537244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.481247526535,0,0
"15","5-1-90-12-NW",0,0,22.86669656787,33.02641998903,3.024396423528,0,0,2.533586335218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.80903588927561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.623429002285,0,0,1.22237112809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81113395975988,0,0
"16","5-1-90-12-SE",0,0,17.74933860786,0,0,0,0,7.1399357534119,0,0,0,0,12.6364078432,0,0,0,5.84015332644,0,0,0,0,0,15.1365088812,0,0,0,0,0,0,0,0,0,0.414536997901,0,0,0,0,0,0,0,0,0,5.137376740735,0,0,0,0,0,0,0.444118526967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.481350382303,0,0
"17","5-1-90-12-SW",0,0,2.52412495979,0.000243229425965,0,0,0,1.938512622205,4.713926141941,0,0,0,1.271953243751,0,0,0,0,0,0,0,0,0,48.522037145137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.7024455600069,0,0,1.44811147492,0,0,0,0,0,0,0,0,0,4.713926141955,0,0,0,0,0,0,0,0,0.7464589137199,0,0
"18","5-1-90-13-NE",0,0,3.369407989832,0,0,0,0,1.10355280487,0,0,0.615168449465,0,0,1.83330439939,0,18.1782239759,19.3455558199,0,1.60057167376,0,0,0,3.793338951486,2.21811197415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.898517825836,0,0,0,4.34144129547,0,0,0,0,0,1.60057130412,0,0,0,0,0,0,0,0,0.954813247488,0,0
"19","5-1-90-13-NW",0,0,0.00125900875233,3.604163877307,0,0,0,42.835552429701,0,0,0,1.38532978178,0,2.524229033547,0,3.027566798711,3.94639158566,0,4.9462115952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00253039947,0,0,0,0,0,0,4.94621158693,0,0,0,0,0,0,0,0,0.913611653419504,0,0
"20","5-1-90-13-SE",0,0,25.3212789550411,0,2.47913193714,0,0,6.396214001862,0,0,21.297616131576,0,0,0,0,0,0.387770120744,0,0,0,0,10.19662968347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.02471032973,0,0
