"","QSLinkID","BlackSpruce0","BlackSpruce10","BlackSpruce100","BlackSpruce120","BlackSpruce140","BlackSpruce20","BlackSpruce40","BlackSpruce60","BlackSpruce80","Deciduous0","Deciduous10","Deciduous100","Deciduous120","Deciduous140","Deciduous20","Deciduous40","Deciduous60","Deciduous80","DeciduousCC40","DeciduousCC60","DeciduousCC80","Mixedwood0","Mixedwood10","Mixedwood100","Mixedwood120","Mixedwood140","Mixedwood20","Mixedwood40","Mixedwood60","Mixedwood80","MixedwoodCC100","MixedwoodCC40","MixedwoodCC60","MixedwoodCC80","MixedwoodUP40","MixedwoodUP60","MixedwoodUP80","NA.","Pine100","Pine120","Pine140","Pine40","Pine60","Pine80","PineCC0","PineCC10","PineCC20","PineCC40","PineCC60","PineCC80","WhiteSpruce0","WhiteSpruce10","WhiteSpruce100","WhiteSpruce120","WhiteSpruce140","WhiteSpruce20","WhiteSpruce40","WhiteSpruce60","WhiteSpruce80","WhiteSpruceCC40","WhiteSpruceCC60","WhiteSpruceCC80","Borrow.Pits.Dugouts.Sumps","Cultivation..Crop.Pasture.Bare.Ground.","Cutblock","Industrial.Site.Rural","Mine.Site","Pipeline","Rail..Hard.Surface","Rail..Vegetated.Verge","Road..Hard.Surface","Road..Vegetated.Verge","Road.Trail..Vegetated.","Rural..Residential.Industrial.","Seismic.line","Transmission.Line","Well.Site"
"12","4-10-67-33-NE",0,0,0,16.2900468478056,13.6053564611354,0,0,0,0,2.510691772567,2.65852959550844,0,2.058736511238,0.910710664805,0,0,0,0,0,0,0,5.1041517477526,0.00407867355927,0,0.280129717665,7.50709311770032,1.48376398321,0,0,0,0,0,0.0168605750488,0,0,0,0,0,0,2.469620812077,0,0,0,0,0,0,1.20621962440146,2.19695239111,0,0,1.124924924844,0,0,0,3.57269434761971,0,0,0,0,0,0,0,0,0,12.7028586915564,0,0,0,0,0,0,0,0,0,0.7460093328937,0,0
"13","4-10-67-33-NW",0,0,0,11.107278337438,3.55509239364792,0,0,0,0,0.8818754140879,0,0,12.8561054287449,0,0,0,0,0,0,0,0,4.962126741451,0,1.0343903075939,8.524215080716,0,0,0,0,0,0,0,0.226346570448,3.687585951125,0,0,0,0,0,11.31944846594,0,0,0,0,0,0,3.52763920848554,0,0,0,0,0,0,0.388108846614,1.38113081846,0,0,0,0,0,0,0,0,0,13.2855738933717,0,0,0,0,0,0,0,0,0,0.626752653898673,0,0
"14","4-10-67-33-SE",0,0,0,1.55321333683,4.04977484231,0,0,0,0,9.937015782823,15.1890586524,0,0.98318835669,10.6274869848,0,0,0,0,0,0,0,1.63372084722,0,0,0,5.11715530876,4.87871634406,0,0,0,0,0,2.55690003993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.466051717572,6.655654004739,0,0,0,0,0,0,0,0,0,30.856110472459,0,0,0,0,0,0,0,0,0,0.35876189221504,0,0
"15","4-10-67-33-SW",0,0,0,0,0,0,0,0,0,9.01753674687,31.815716152699,0,3.00487829188251,0,6.997238018663,0,0,0,0,0,0,2.0793385641,0,0,1.05423152349396,4.5629841256202,0.109845149726,0,0,0,0,0,1.17375780052,0.5486680660265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.27162840977,1.01863079884,0,0,0,0,0,0,0,0,0,51.742102228734,0,0,0,0,0,0,0,0,0,0.12004186893991,0,0
"16","4-10-67-34-NW",0,0,0,0,0,0,0,0,0,0.000489488496299,0,0,0,0.000233679066999,0,0,0,0,0,0,0,0.00080023640494237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000935393184976,0,0,0,0.000104837866071,0,0,0,0,0,0,0,0,0,0.00128972490257237,0,0,0,0,0,0,0,0,0,1.94403853592e-05,0,0
"17","4-10-67-34-SW",0,0,0,0,0,0,0,0,0,2.23339936905e-05,0,0,0,0.000184865493848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.25116009839e-05,0,0,0,0,0,0,0,0,0,0,0,0
"18","4-10-68-10-NE",0,0,0,9.583576197388,32.807994117,0,0,0,0,0,3.376022683886,0,2.94342437825,0,0.842197281268,0,0,0,0,5.55826435199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.425403239852,0,0,0,0,0,0,0,0,0,0,0,0,0,3.03029663902,0,0,0,0,0,0,0,0,0,9.776484420758,0,0,0,0,0,0,0,0,0,0.3221900235466,0,0
"19","4-10-68-10-NW",0,0,0.1392921118596,20.2303376317252,21.1990873945606,0,0,0,0,0.945024255705,2.17939784022,0,0.278163165203,0,2.49882291313,0,0,0,0,0.54102798059038,0,0,0,0,0,0,1.6718262309,0,0,0,0,0,4.74458063647,0,0,0,0,0,0,0,5.412199284653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02015024985432,0,0,0,0,0,0,0,10.908853959276,0,0,0,0,0,0,0,0,0,0.207623886961507,0,0
"20","4-10-68-10-SW",0,0,0,0.00239846449428,0.000621279295597,0,0,0,0,0.00120553175824,0,0,0,0,0.00080359793834,0,0,0,0,0,0,0.000691722207435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00362549532235,0,0,0,0,0,0,0,0,0,0.002609984876836,0,0,0,0,0,0,9.22135395758e-05,0,0,0,0,0
"21","4-10-68-11-NW",0,0,0,0,0.0006561683282347,0,0,0,0,0,0,0,0.000393287223555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.52564432765e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22","4-10-68-13-NE",0,0,2.405154829632,0.483737022903,11.327382424456,0,0,0,0,23.9803282615,0,0.639485722248,0,0,0,8.316057225573,0,0,0,0,0,6.31639800903,0,0,0,0,0,7.109227448396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.25275281001,0,0,0,0,0,0,0,0,0,0,0,0.9635333232985,0,0,0,0,0,0,0,44.790099470859,0,0,0,0,0,0,0,0,0,0.247441357505,0,0
"23","4-10-68-13-NW",0,0,0.000472249941937,2.27590441689,17.78403341709,0,0,0,0,3.79914382247,0.00825469839862,1.08076319142,0.1244725587829,0,0,3.516401842924,0,7.41200964318,0,2.231670062887,0,0,0,0,0,0,1.301040889572,10.7076037857558,0,0,0,0,0,0,0,0,0,0,0,0,4.88588232829,0,0,0,0.750930953468,0,0,0,0,0,0,0,0,0,0,0,2.46668378277,0,0,0,0,0,0,0,12.8444734389897,0,0,0,0,0,0,0.3195905223674,0,0,0.75372044187156,0,0
"24","4-10-68-13-SE",0,0,3.1083641404,0,4.1599567223827,0,0,0,0,33.281619970929,0,0,0,0,0,18.25746951038,0,0,0,0,0,2.292329922485,0,0,0,0.610355631368,0,0.569649990569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.68464208205,0.275615048669,0,0,0,0,0,0,0,53.831418162927,0,0,0,0,0,0,0,0,0,0.0154314348831,0,0
"25","4-10-68-13-SW",0,0,6.90649533061,0,19.875924991423,0,0,0,0,0.7378156477972,0,0,0,0,0,25.3821967624665,0,0.116119393565,0,0.1678648624364,0,0.816232750115,0,0,2.6757456852212,1.79110033455,0,2.29782863437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.413186243813,0,0,0,0,0,0,0,29.3835278501409,0,0,0,0,0,0,0.018398837318491,0,0,0.11431931687079,0,0
"26","4-10-68-14-NE",0,0,0,0,0,0,0,0,0,0,2.57208008301,0,0,1.734680312556,3.485208185814,0.3037474549204,0.163765947261,0,0,24.39551989637,0,3.26257673272,0,0,0,0.463009722436,0.767096098061,0,0,0,0,0,26.4761089337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.671904239902,0,0,0,0,0,0,0,0,0,60.939055976059,0,0,0,0,0,0,0.0195352585196,0,0,0,0,0
"27","4-10-68-14-NW",0,0,0,0,3.313428143162,0,0,0,0,1.72173370084,0.376571345491,0,0,0.9801834073,2.365969461187,2.945634697335,0.00701067798608,0,0,37.368304776153,0,0,0,0,0,0,1.262292794526,0,0,0,0,0,10.59816712626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6442706021948,0,0,0,0,0,0,0,0,0,53.69304603582,0,0,0,0,0,0,0,0,0,0.137865463844541,0,0
"28","4-10-68-14-SE",0,0,0,0,0,0,0,0,0,2.016358478033,1.67695404723,0,0,0.0176316547813,7.31908363356722,3.175086738137,0.477384457988,0,0,25.556492147355,0,0,0,0,1.25229021974,0,0,0,0,0,0,0,13.83398508901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.568130031532,0,0,0,0,0,0,0,0,0,52.9242768069364,0,0,0,0,0,0,0.080962941101113,0,0,0.0922102735945,0,0
"29","4-10-68-14-SW",0,0,0,0,0.3225550456493,0,0,0,0,0,0,0.4725463788548,3.0321664266007,5.382329511178,1.662387646806,0.3512300299422,0,0,0,44.84798972532,0,3.4017261150447,0,0,0,0,1.341779219089,0.607861964357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.081365333345,0,0,0,2.50723026846,0,0,0,0,0,0,0,0,0,49.3842652932271,0,0,0,0,0,0,0,0,0,0.211700404547,0,0
"30","4-10-68-15-NE",0,0,0,0,17.403648168145,0,0,0,0,0,0,4.07830989641,0,1.306601261193,1.6705027387295,0,0,0,0,9.51617488790764,0,0,1.78760061084,0,0,0.435980500166,0.644615811751,0,0,0,0,0,12.1443361419,0,0,0,0,0,0,0,1.69568098642,0,0,0,0,0,0,0,0,0,0.865715193946,0,0,0,0.237248170756,1.05505126242,0.316141325124,0,0,0,0,0,0,0,25.7632184538363,0,0,0,0,0,0,0,0,0,0.4288903476465,0,0
"31","4-10-68-15-NW",0,0,0,23.7329963658568,24.8440948090412,0,0,0,0,1.945769615483,0,0,0,0,0.953234221517,0.160916581491,0,0,0,3.503549291543,0,0,0,0,0.264775810805,0.119214144,0,0,0,1.34561555173,0,0,0,0,0,0,0,0,0,0,7.3296227559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5634698358248,0,0,0,0,0,0,0,0,0,1.45543383358674,0,0
"32","4-10-68-15-SE",0,0,0,2.447262342832,8.5203726593775,0,0,0,0,0,0.1190562329651,1.21747230486568,3.838760746533,5.34378405518,2.356064427137,0.126925540208,0,0,0,1.3152858363002,0,0,0,0,0,4.556281818985,0.536698941203,0,0,0,0,0,0,0,0,0,0,0,0,0,26.3372384122051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.2782006831918,0,0,0,0,0,0,0,0,0,0.67356323577081,0,0
"33","4-10-68-15-SW",0,0,0,10.6562443165325,19.4007624127002,0,0,0,0,8.3374956649623,1.52266197558952,0,0,0,2.0562910858,0,0,0,0,7.6143932195156,0,0,0,0,0,1.3114515655562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.859301587664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18888061345442,0,0,0,0,0,0,0,16.6233157025189,0,0,0,0,0,0,0,0,0,0.3889287258935,0,0
"34","4-10-68-16-NE",0,0,0,6.239282180705,22.757618780156,0,0,0,0,2.109081601591,0,0,1.261347074572,0,0,0.0208765566109,0,0,0,12.462303802095,11.16461398467,0,0,0,0,0,0,0.00305412490935,0,0,0,0,2.09906427086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.04752916435,0,0,0,0.146032562053,0,0,0,0,0,0,0,0,0,27.835062921559,0,0,0,0,0,0,0,0,0,0.7979865506301,0,0
"35","4-10-68-16-NW",0,0,0,0.781033289936,0,0,0,0,0,0,0.0324918570774,0,0,1.76552339514,0.0685058348406,0,0,0,0,28.7079701099517,21.250741282896,0,0,0,0,1.371742019869,0,0.2530066295397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.760421458778,0,0,0,1.245004074409,2.027766848435,0,0,0,0,0,0,0,0,37.1679007927632,0,0,0,0,0,0,0,0,0,0.12162046708205,0,0
"36","4-10-68-16-SE",0,0,5.121404450216,22.39035561844,9.29293034871252,0,0,0,0,1.58384798391,0,0,0.0414317395421,0,0,0,0,1.4726799453,0,16.211156095801,1.97201676892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999304645487,0,0,0,0,0,0,0,0,0,19.767020662654,0,0,0,0,0,0,0,0,0,1.30137168487326,0,0
"37","4-10-68-16-SW",0,0,0,7.1087903592298,24.2303969854514,0,0,0,0,0,0.512743057832,0,9.3609721445654,0,0,0,0,0,0,4.0443098309656,3.0062882485728,0,0,0,0,4.041714505916,0,0,0,0,0,0,0.9800323934692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5433735680069,0,0,0,0,0,0,0,0,0,1.62839427570988,0,0
"38","4-10-68-17-NE",0,0,0,0,4.86374502694675,0,13.3064992538,0,0,0,0,0,0,0,1.20054593566,1.06485047481,0,0,0,11.909372894983,5.44893159023,0,0,0,0,2.02903966181,1.44363305599,0.989949175379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.420853314786,2.92217006651,0,0,0,0,0,0,0,0,32.65764514106,0,0,0,0,0,0,0,0,0,0.34954859696121,0,0
"39","4-10-68-17-NW",0,0,0,0.66332094599308,0.870948357864,0,1.1578752921,0,0,0,1.47063433514,0.296925606254,0,0,0.826180534783,1.81946528798,0,0,0,28.05078298603,14.0589352390229,0,0,0,0,0,0.0249041582418,0,0,0,0,0,0.0825712790071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.347381738684,1.793016390943,0.0320900369963,0,0,0,0,0,0,0,38.9239325077632,0,0,0,0,0,0,0,0,0,0.309859671638679,0,0
