"","QSLinkID","BlackSpruce0","BlackSpruce10","BlackSpruce100","BlackSpruce120","BlackSpruce140","BlackSpruce20","BlackSpruce40","BlackSpruce60","BlackSpruce80","Deciduous0","Deciduous10","Deciduous100","Deciduous120","Deciduous140","Deciduous20","Deciduous40","Deciduous60","Deciduous80","DeciduousCC10","DeciduousCC20","DeciduousCC40","Mixedwood0","Mixedwood10","Mixedwood100","Mixedwood120","Mixedwood140","Mixedwood20","Mixedwood40","Mixedwood60","Mixedwood80","MixedwoodCC10","MixedwoodCC20","MixedwoodCC40","Pine100","Pine120","Pine140","Pine40","Pine60","Pine80","PineCC0","PineCC10","PineCC20","WhiteSpruce0","WhiteSpruce10","WhiteSpruce100","WhiteSpruce120","WhiteSpruce140","WhiteSpruce20","WhiteSpruce40","WhiteSpruce60","WhiteSpruce80","WhiteSpruceCC10","WhiteSpruceCC20","WhiteSpruceCC40","Borrow.Pits.Dugouts.Sumps","Cultivation..Crop.Pasture.Bare.Ground.","Cutblock","Industrial.Site.Rural","Mine.Site","Other.Disturbed.Vegetation","Pipeline","Road..Hard.Surface","Road..Vegetated.Verge","Road.Trail..Vegetated.","Rural..Residential.Industrial.","Seismic.line","Transmission.Line","Well.Site"
"1","5-1-89-33-NE",0,0,0,0,0,0,0,0,5.51046614295e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.04575123145e-06,0,0
"2","5-1-90-1-NE",0,0,0,5.8886430961408,0,0,0,0,41.012144954441,0,0,0,0,0,0,0,0,2.08964467051,0,0,0,0,0,2.69802252584,0.41286636344,0,0,0,0,0,0,6.05398342318,0,0,0,0,0,0,0,0,0,0,0,0,0,1.80578008699644,3.06755450099,1.4852923267442,0,0,0,0,0,0,0,0,6.0539832579,0,0,0,0,0,0,0,0,1.83773075982058,0,0
"3","5-1-90-1-NW",0,0,0,0,0,0,0,0,8.91613023394,0,0,0,0,1.70957528129,0,0,0,15.0667760807247,0,0,0,0,0,33.9062264139782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.379525988989,5.15847595476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.83552217446505,0,0
"4","5-1-90-1-SE",0,0,0,14.040275209703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09006536386,0,0,0,0,0,0,16.90907119358,0,0,0,0,0,0,0,0,0,0,0,0,0,13.9083893429348,3.21695887777919,6.462001941014,0,0,0,0,0,0,0,0,16.90907159886,0,0,0,0,0,0,0,0,1.203357820011,0,0
"5","5-1-90-1-SW",0,0,0,0,10.354973913252,0,0,0,0,0,0,0,0.3068985510102,0,0,0,0,0.00266009334968,0,0,0,0,0,16.45176280972,0,4.55774746185,0,0,1.52676368997,0,0,4.91179218474,0,0,0,0,0,0,0,0,0,0,0,0,0,0.475899388155,17.3492436974245,1.80916502638003,0,0,0,0,5.027007563678,0,0,0,9.938799745452,0,0,0,0,0,0,0,0,2.08591328722935,0,0
"6","5-1-90-10-NE",0,0,2.621882730965,0,0,0,0,0,0,0.0708262257684,0,0,0,0,0,0,0,24.9516550672,0,0,0,0,0,0,0,0,8.45434501615293,0,3.1278925161,1.55920182511,0,2.88631557701,0,0,0,0,0,0,0,0,0,0,0,0,0,0.228708213112,0,0,0,0,0,0,6.76602994955,0,0,0,9.7231716930429,0,0,0,0,0,0,0,0,0.85786345530168,0,0
"7","5-1-90-10-NW",0,0,0.995789812558,0,0,0,0,0,9.397858855505,20.363591946852,0,0,0,0,0,0,0,7.759450000525,0,0,0,0,0,0,2.976683560624,0,1.07231028975,0,0,4.86591359885,0,0,0,0,0,0,0,0.0178490610444,3.86557163514,0,0,0,0,0,0,0,4.70910910463,0,0,1.781058157823,0,0,0.615794352268,0,0,0,20.979386299327,0,0,0,0,0,0,0,0,1.02196674414922,0,0
"8","5-1-90-10-SE",0,0,2.916964942184,0,0,0,0,1.26522150269,10.883851260303,0,0,0,0,0,0,0,3.32828269981,17.950698228109,0,0,0,0,0,0,0,0,0,0,0.602270594178,0,0,0,0,0,0,0,0,1.20379641313,15.17071513929,0,0,0,0,0,0,2.24710598491,0,0,0,1.33369696704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.454871015198,0,0
"9","5-1-90-10-SW",0,0,25.3824513921053,6.25263842802,0,0,0,0.134108454269,0.69905488588258,0,0,0,0,0,0,0,1.16653342804,0.00564264302154,0,0,0,0,0,0,0,0,0,0,2.39315627921,0,0,0,0,0,0,0,0,20.4544334365,2.29438408624,0,0,0,0,0,0,0,1.507136059161,0,0,2.911720237537,0,0,0.0273189057198,0,0,0,0.0273189054079,0,0,0,0,0,0,0,0,0.57570193019376,0,0
"10","5-1-90-11-NE",0,0,0,32.01506329683,4.92558227732,0,0,0,0,0,0,0,0,0,0,0,0.307613323022,4.48919353583,0,0,0,0,0,8.55807368804,0,0,0,0,0,12.61556013951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.575650665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.481281877469,0,0
