"","QSLinkID","BlackSpruce0","BlackSpruce10","BlackSpruce100","BlackSpruce120","BlackSpruce140","BlackSpruce20","BlackSpruce40","BlackSpruce60","BlackSpruce80","Deciduous0","Deciduous10","Deciduous100","Deciduous120","Deciduous140","Deciduous20","Deciduous40","Deciduous60","Deciduous80","DeciduousCC40","DeciduousCC60","DeciduousCC80","Mixedwood0","Mixedwood10","Mixedwood100","Mixedwood120","Mixedwood140","Mixedwood20","Mixedwood40","Mixedwood60","Mixedwood80","MixedwoodCC40","MixedwoodCC60","MixedwoodCC80","MixedwoodUP40","MixedwoodUP60","NA.","Pine100","Pine120","Pine140","Pine40","Pine60","Pine80","PineCC0","PineCC10","PineCC20","PineCC40","WhiteSpruce0","WhiteSpruce10","WhiteSpruce100","WhiteSpruce120","WhiteSpruce140","WhiteSpruce20","WhiteSpruce40","WhiteSpruce60","WhiteSpruce80","WhiteSpruceCC60","WhiteSpruceCC80","Borrow.Pits.Dugouts.Sumps","Cutblock","Industrial.Site.Rural","Mine.Site","Other.Disturbed.Vegetation","Pipeline","Road..Hard.Surface","Road..Vegetated.Verge","Road.Trail..Vegetated.","Rural..Residential.Industrial.","Seismic.line","Transmission.Line","Urban","Well.Site"
"12","4-19-95-11-NE",0,0,9.96534367054002,15.0858979783,0,0,0,0,0,0,10.6861596452691,0,0,0,0,0,0,0.03770437616678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.93167419278,0,0,0,0,0,0,19.1344544473788,0,0,0,0,0,0,0,0,0,0,0,0,0,29.8206140927039,0,0,0,0,0,0,0,0,0,0,0,0
"13","4-19-95-11-NW",0,0,3.681270849854,16.065414277132,0,0,0,0,0,0,7.042282282591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.673647123753,0,0,0,0,0,0,19.968069922782,8.11378380162,0,0,0,0,0,0,0,0,0,0,0,0,35.124136007002,0,0,0,0,0,0,0,0,0,0,0,0
"14","4-19-95-11-SE",0,0,0.782680967434,22.182666543654,0,0,0,0,0,0,12.8210939546299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.7300209789,0,0,0,0,0,0,16.9384587318341,0,0,0,0,0,0,0,0,0,0,0,0,0,29.7595526863854,0,0,0,0,0,0,0,0,0,0,0,0
"15","4-19-95-11-SW",0,0,0.115619623513,7.47118192308341,0,0,0,0,0,0,16.164389388553,0,0,0.151323240852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.617791319072,0.39792009541,0,0,0,0,0,33.8483429776312,7.835489193616,0,0,0,0,0,0,0,0,0,0,0,0,57.8482215597939,0,0,0,0,0,0,0,0,0,0,0,0
"16","4-19-95-12-NE",0,0,2.03957052592,7.2171747550706,7.335110999309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.60716461073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.184842509266,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18484250926,0,0,0,0,0,0,0,0,0,0,0,0
"17","4-19-95-12-NW",0,0,0,10.480826821638,8.1372895131,0,0,0,0,0,15.002058196432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.27621513413,5.18503917265,0,0,0,0,0,16.518278247308,0,0,0,0,0,0,0,0,0,0,0,0,0,31.5203364437492,0,0,0,0,0,0,0,0,0,0,0,0
"18","4-19-95-12-SE",0,0,0.0293271017813,8.76503089899797,0.443433433845,0,0,0,0,0,0,0,1.342444834199,0,0,0,0,0,0,0,0,0,0,0,15.622961366812,0,0,0,0,0,0,0,0,0,0,0,0,16.515021373134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19","4-19-95-12-SW",0,0,0,35.709200702399,3.11443531666,0,0,0,0,0,3.7291649842592,0,0,0,0,0,0,0,0,0,0,0,4.11008826103802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.1758354638886,0,0,0,0,0,0,6.96375460193148,0,0,0,0,0,0,0,0,0,0,0,0,0,14.8030078472073,0,0,0,0,0,0,0,0,0,0,0,0
"20","4-19-95-13-NE",0,0,9.25278999556563,3.8743664027,4.33260986045,0,0,0,0,0,20.812424298395,0,0,0,0,0,0,0,0,0,0,0,0,0,5.28040017098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.037145249561,0,0,0,0,3.0823383915,3.78176029061,0,0,0,0,0,0,0,31.849560698214,0,0,0,0,0,0,0,0,0,0,0,0
"21","4-19-95-13-NW",0,0,1.09117557136,16.4272053956174,2.61411158175128,0,0,0,0,0,32.14598917529,0,0,0,0,0,0,0,0,0,0,0,0.86638490421306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.209769046173,0,0,0,0,0,1.5429500455414,0,0,0,0,0,0,0,39.2221431256859,0,0,0,0,0,0,0,0,0,0,0,0
"22","4-19-95-13-SE",0,0,0.4291514400082,2.890717683918,0,0,0,0,0,0,11.5570477732033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.672710075704,0,0,0,0,0,0,0,0,0,0,0,0,0,42.2297501553083,0,0,0,0,0,0,0,0,0,0,0,0
"23","4-19-95-13-SW",0,0,0,5.75075382309,13.1192985641191,0,0,0,0,0,14.6148509115421,0,0,0,0,0,0,7.043450248346,0,0,0,0,1.86736731388316,0,0,0,0,0,0,2.64976593834,0,0,0,0,0,0,0,6.4632631368739,0,0,0,0,0,0,9.8431640867699,0,0,0,0,0,0,0,0,0,0,0,0,0,26.3253823121538,0,0,0,0,0,0,0,0,0,0,0,0
"24","4-19-95-14-NE",0,0,9.32147880132,12.9937408703715,8.672340962124,0,0,0,0,0,15.28685730967,0,0,0,0,0,0,0,0,0,0,0,5.9279746383655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.49499937043,0,0,0,0,0,0,6.2346826781,0,0,0,0,1.59982210127,0.268043394623,0,0,0,0,0,0,0,27.4495146261674,0,0,0,0,0,0,0,0,0.313678134795,0,0,0
"25","4-19-95-14-NW",0,0,0.366728507119,5.370398539093,7.716768342013,0,0,0,0,0,36.65650746869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.30230267042,0,0,0,0,0,0,0.744511513134,0,0,8.1889728825,0,1.63940794599,0,0,0,0,0,0,0,0,45.589991864249,0,0,0,0,0,0,0,0,0.0939659490345,0,0,0
"26","4-19-95-14-SE",0,0,7.47419576245,6.136082377666,8.6902869532451,0,0,0,0,0,27.517123150937,0,0,0.700632829019,0,0,0,4.348735930813,0,0,0,0,2.96656856394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.725407765961,0,0,0,0,0,0,6.590501263022,0,0,0,0,0,0,0,0,0,0,0,0,0,37.0741929779171,0,0,0,0,0,0,0,0,0,0,0,0
"27","4-19-95-14-SW",0,0,29.892486777303,1.117906589555,3.88313885475,0,0,0,0,0,4.553375828461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.348287217638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.55337582848,0,0,0,0,0,0,0,0,0.441321385256,0,0,0
"28","4-19-95-15-NE",0,0,0.0240793081049,5.32911352938,0.554096636669,0,0,0,0,0,58.972246779763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0658681319125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.972246779753,0,0,0,0,0,0,0,0,0,0,0,0
"29","4-19-95-15-NW",0,0,5.994591210139,1.754131791518,0.389593825069,0,0,0,0,0,41.96955220578,0,0,0,0,0,0,0,0,0,0,0,3.63721415962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.8181599006402,0,0,0,0,0,0,0,0,0,0,0,0,0,58.4249262661522,0,0,0,0,0,0,0,0,0.0907024678977,0,0,0
"30","4-19-95-15-SE",0,0,7.9625206037888,1.233349570975,0.742122123063,0,0,0,0,0,11.988523989471,0,4.92481155864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.999969258571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.98852398947,0,0,0,0,0,0,0,0,0.2973659125701,0,0,0
"31","4-19-95-15-SW",0,0,19.033984958315,3.947604237712,0.65639699013,0,0,0,0,0,0,0,33.8355080447451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.50547695292,0,0,0,0,0,0,4.26197442908,0,0,0,0,0,0,0,0,0,0,0,0,0,4.26197442908,0,0,0,0,0,0,0,0,0,0,0,0
"32","4-19-95-16-NE",0,0,17.41863447603,1.28101985927,4.948569725446,0,0,0,0,0,17.714122235533,1.77212713498,5.91738033773,0,0,0,0,0,0,0,0,0,2.642995965104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.646954503479,0,0,0,0,0,0,12.604271770562,0,0,0,0,0,0,0,0,0,0,0,0,0,32.961389971167,0,0,0,0,0,0,0,0,0.1370375512961,0,0,0
"33","4-19-95-16-NW",0,0,0.20251216217,3.343903878747,3.128144359857,0,0,0,0,0,32.3263982991147,0,2.325449697232,0,0,0,0,0,0,0,0,0,7.180583641668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.728200494368,0,0,0,0,0,0,0,0,0,0,0,0,0,57.2351824350872,0,0,0,0,0,0,0,0,0,0,0,0
"34","4-19-95-16-SE",0,0,0.750276874603,4.538898404837,1.69578249390697,0,0,0,0,0,0.5470224063622,0,58.615072692837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5470224063634,0,0,0,0,0,0,0,0,0.3698404888366,0,0,0
"35","4-19-95-16-SW",0,0,0,1.247656256727,9.2008385465934,0,0,0,0,0,10.0532121946303,0,40.9818010620332,0,0,0,0,0,0,0,0,0,6.758223213124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.8114354077613,0,0,0,0,0,0,0,0,0.3634007127121,0,0,0
"36","4-19-95-17-NE",0,0,0.0590731875415,47.02473565257,0.3102092538975,0,0,0,0,0,14.984218974759,0.0324735514666,0,0,0,0,0,0,0,0,0,0,1.93601695832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.920235932979,0,0,0,0,0,0,0,0,0,0,0,0
"37","4-19-95-17-NW",0,0,0.711321770258,39.9087129855638,2.62153950908,0,0,0,0,0,4.789243042209,5.22294507217,1.81381095409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0533021105063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.78924304217,0,0,0,0,0,0,0,0,0.6241110270753,0,0,0
"38","4-19-95-17-SE",0,0,4.5379109649621,17.641649218769,16.572983820482,0,0,0,0,0,7.2407799187744,0,10.9534911322723,0,3.62198008396,0,0,0,0,0,0,0,4.71241361699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.30257170376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.5751736197356,0,0,0,0,0,0,0,0,0.36993671852817,0,0,0
"39","4-19-95-17-SW",0,0,31.106720629181,21.974515652188,1.861156299041,0,0,0,0,0,1.7199354312968,0,6.03042058427,0,4.55570188858e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5499454150618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.71998098831246,0,0,0,0,0,0,0,0,0.71005246532004,0,0,0
"40","4-19-95-18-NE",0,0,0,25.260120147432,0,0,0,0,0,0.791246362807,0,0,1.966023353151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.470537390917,15.81780663931,0,0,0,0,0,0,0,0.925950719359,0,0,0,0,0,0,0,0,0,0,0,0,1.717197082163,0,0,0,0,0,0,0,0,0.2775658017545,0,0,0
"41","4-19-95-18-NW",0,0,0.552748093523,14.359560718917,0,0,0,0,0,2.49517105345,0,0,1.47994237487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.22283264542,0.5846766474759,0,0,0,0,0,0,6.57584279506,0,0,0,0,0,0,0,0,0,0,0,0,9.07101384848,0,0,0,0,0,0,0,0,0.3932641092159,0,0,0
"42","4-19-95-18-SE",0,0,0.384918134493,22.257612332707,1.6098855612297,0,0,0,0,0,0.20121380706251,0,2.25744675392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.87383223637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2012138070673,0,0,0,0,0,0,0,0,0.0848696414728,0,0,0
"43","4-19-95-18-SW",0,0,18.5273498638494,34.0365396926996,0,0,0,0,0,0,0,0,0.360011065699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.35494167202,0,0,0,0,0,0,6.559774394802,0,0,0,0,0,0,0,0,0,0,0,0,0,6.559774394811,0,0,0,0,0,0,0,0,0.410195944709,0,0,0
"44","4-19-95-19-NE",0,0,15.46555999042,13.6174238341167,1.82574112937,0,0,0,0,0,11.53415573164,0,1.59114718659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.325193026971,0,0,0,0,0,0,9.317319856753,0,0,0,0,0,0,0,0,0,0,0,0,0,20.851475588416,0,0,0,0,0,0,0,0,0,0,0,0
"45","4-19-95-19-NW",0,0,2.3473139635181,20.462465318121,0,0,0,0,0,0,0,0,0.780057318294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.25399875978,0,0,0,0,0,0,0.8384733864133,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8384733864224,0,0,0,0,0,0,0,0,0,0,0,0
"46","4-19-95-19-SE",0,0,23.15090140467,5.677617016669,0,0,0,0,0,0,1.68568431802,3.21085700262,3.01060269941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.27283185016,0.418739610266,0,0,0,0,0,0,0.982240407763,0,0,0,0,0,1.70999932299,0,0,0,0,0,0,0,2.667924725747,0,0,0,0,0,0,0,0,0,0,0,0
"47","4-19-95-19-SW",0,0,8.5648187886,5.34882870106254,0,0,0,0,0,0,0,0.510694910164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.123559699818,0.0936756396969,0,0,0,0,0,1.04245609765,0,0,0,0,0,0.630153320411,0,0,0,0,0,0,0,1.04245609764,0,0,0,0,0,0,0,0,0,0,0,0
"48","4-19-95-2-NE",0,0,0,31.46335045171,1.489278413524,0,0,0,0,0,9.258765374895,0,2.14468875138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.476849399896,0,0,0,0,0,0,8.231745535615,0,0,0,0,0,0,0,0,0,0,0,0,0,17.490510910515,0,0,0,0,0,0,0,0,0,0,0,0
"49","4-19-95-2-NW",0,0,3.59310848701,30.8047152186312,1.815208852127,0,0,0,0,0,8.337313055456,0,0,2.232520665256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.09927603121,0,0,0,0,0,0,17.27650461672,0,0,0,0,0,0,0,0,0,0,0,0,0,25.6138176722241,0,0,0,0,0,0,0,0,0.100550470807,0,0,0
"50","4-19-95-2-SE",0,0,0,20.198577202656,2.021112325639,0,0,0,0,0,4.2188213158992,0,5.5182565272202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5788560735,0,0,0,0,0,0,32.463268167956,0,0,0,0,0,0,0,0,0,0,0,0,0,36.6820900821432,0,0,0,0,0,0,0,0,0.2289160977693,0,0,0
"51","4-19-95-2-SW",0,0,2.07765067154,12.045501038448,0,0,0,0,0,10.7359947140441,8.500641771398,0,0.13200106918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.481285298946,0,0,0,0,0,0,0,0,0,0,0,0,0,48.7179186603426,0,0,0,0,0,0,0,0,0.10312580689017,0,0,0
"52","4-19-95-20-NE",0,0,3.06318184388,22.804621602184,2.456753621706,0,0,0,0,0,9.697608338258,0,0,0,0,0,0,0,0,0,0,0,4.420842022924,0,0,0,0,0,0,0,0,0,0,0,0,0,1.48828455754,0,0,0,0,0,0,0,14.7158925999849,0,0,3.28703335787,0,2.28198527754,0,0,0,0,0,0,0,0,31.7981724048746,0,0,0,0,0,0,0,0,0,0,0,0.6431047338607
"53","4-19-95-20-NW",0,0,10.0902252451053,12.6304761317894,1.713590049037,0,0,0,0,0,14.88616404582,0,0.774475503638,0,0,0,0,0,0,0,0,0,1.15019527028,0,0,0,0,0,0,0,0,0,0,0,0,0,14.0788616005,5.1875583559,0,0,0,0,0,0,4.6946876762568,0,0,0,0,0,0,0,0,0,0,0,0,0,20.7089003718052,0,0,0,0,0,0,0,0,0,0,0,0.3515998832121
"54","4-19-95-20-SE",0,0,8.0010938909539,21.329206899224,8.276325175438,0,0,0,0,0,10.0703665096061,0,0,0,0,0,0,0,0,0,0,0,7.5620131850581,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0130582404459,0,0,0,0,0,0,0,0.0502893802314,0,0,0.00516405783726,0,0,0,0,0,0,0,0,0,0,17.6878331327663,0,0,0,0,0,0,0,0,0.28711894213745,0,0,0
"55","4-19-95-20-SW",0,0,15.065400143019,6.138227505585,0.448369498889,0,0,0,0,0,12.669546535907,0,3.62162221023,0,0,0,0,0,0,0,0,0,0.178233103247,0,0,0,0,0,0,0,0,0,0,0,0,0,4.57929676218,0.988357489218,0,0,0,0,0,0,8.87184692755,0,0,0,0,0,0,0,0,0,0,0,0,0,21.719626566733,0,0,0,0,0,0,0,0,0.0556047271273,0,0,0
"56","4-19-95-21-NE",0,0,0,10.15037285131,0,0,0,0,0,0,19.619228347735,0,0.259990701483,0,0,0,0,0,0,0,0,0,8.9547071140581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.24885570786,3.62444024962,0,0,0,2.640884530574,0,0,0,0,0,0,0,0,51.4472314191768,0,0,0,0,0,0,0,0,0.000151521441116,0,0,0
