"","QSLinkID","BlackSpruce0","BlackSpruce100","BlackSpruce120","BlackSpruce140","BlackSpruce20","BlackSpruce40","BlackSpruce60","BlackSpruce80","Deciduous0","Deciduous10","Deciduous100","Deciduous120","Deciduous140","Deciduous20","Deciduous40","Deciduous60","Deciduous80","DeciduousCC0","DeciduousCC10","DeciduousCC20","DeciduousCC40","Mixedwood0","Mixedwood10","Mixedwood100","Mixedwood120","Mixedwood140","Mixedwood20","Mixedwood40","Mixedwood60","Mixedwood80","MixedwoodCC0","MixedwoodCC10","MixedwoodCC20","MixedwoodCC40","MixedwoodUP40","Pine0","Pine100","Pine120","Pine20","Pine40","Pine60","Pine80","WhiteSpruce0","WhiteSpruce100","WhiteSpruce120","WhiteSpruce140","WhiteSpruce40","WhiteSpruce60","WhiteSpruce80","WhiteSpruceCC0","WhiteSpruceCC10","WhiteSpruceCC20","WhiteSpruceCC40","Borrow.Pits.Dugouts.Sumps","Cultivation..Crop.Pasture.Bare.Ground.","Cutblock","Industrial.Site.Rural","Mine.Site","Peat.Mine","Pipeline","Road..Vegetated.Verge","Road.Trail..Vegetated.","Rural..Residential.Industrial.","Seismic.line","Transmission.Line","Well.Site"
"1","4-13-70-19-NW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.17458335532e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","4-13-70-30-NW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.99952826503e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.25645963136e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.32408638897e-09,0,0
"3","4-13-71-7-SW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.74786135188e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","4-14-70-1-NE",0,0,0,0,0,0,11.936960037,1.43679214341,0,0,0,0,0,0,0,2.70944597265,0,0,10.4065182135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.0647290054745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.4065150406,0,0,0,0,0,0,0,0.2597633981991,0,0
"5","4-14-70-1-NW",0,0,0,0,0,0,4.9089163123,0.0806003640313,0,0,0,0,0,0,0,0,0,0,3.99155592399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.019438284114,6.385318137568,0,0,0,0,0,0,0,0,0,0,0,0,0,3.99155419805,0,0,0,0,0,0,0,0,0,0
"6","4-14-70-1-SE",0,0,0,0,0,0,10.258067793901,11.4538763942433,0,0,0,0,0,0,0,0.463924498485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.219336340353,0,0,0,27.921168269605,2.21365665516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.59681278680434,0,0
"7","4-14-70-1-SW",0,0,0,0,0,0,10.402498236092,2.254901199217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5841625810689,22.4979902623216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2344454534328,0,0
"8","4-14-70-10-NE",0,2.4813142231,0,0,0,1.644713492636,18.027861523672,0,0,0,0,0,0,0,0,4.433642157722,0,0,33.7326911947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.24373892527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.7326932667,0,0,0,0,0,0,0,0,0,0
"9","4-14-70-10-NW",0,10.925781202625,0,0,0,0,10.4077241253753,8.4193500480793,0,0,0,0,0,0,0,1.03787128399,0,0,24.7895166246624,0,0,0,0,0,0,0,0,0,1.38830709771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.7895157330931,0,0,0,0,0,0,0,0.3227435019991,0,0
"10","4-14-70-10-SE",0,0,0,0,0,0.5459644013695,57.309306929569,6.27739643413312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.388093762884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3186794047185,0,0
"11","4-14-70-10-SW",0,7.74584388006,0,0,0,0,48.2875353913132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.354567412911,0,0
"12","4-14-70-11-NE",0,0,0,0,0,0,0.508520760983,3.6739069204,0,0,0,0,0,0,0,13.56897419803,3.314078287185,0,26.78885162374,0,0,0.000130915207481,0,0,0,0,0,0,3.58639451611,0,0,0,0,0,0,0,0,0,0,0,0,0.697101091008,7.35426817745e-05,0.59303431036,0.641725583893,0,0,0,4.00540932318,0,0,0,0,0,0,26.78885627264,0,0,0,0,0,0,0,0.337463633916,0,0
"13","4-14-70-11-NW",0,0,0,0,0,0,15.3807088324939,0.888066737198,0,0,0,0,0,0,0,15.6125330158616,9.312777873439,0,16.910647662593,0,0,0.000188836145118,0,0,0,0,0,0,0.100419859961,0,0,0,0,0,0,0,0,0,0,0,1.74355150476,0,0,1.62185601572,0,0,0,0,0,0,0,0,0,0,0,16.910646365117,0,0,0,0,0,0,0,0,0,0
"14","4-14-70-11-SE",0,0,0,0,0,0,12.241409470768,15.41789969072,0,0,0,0,0,0,0,0,0,0,14.49208781887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.8520618105907,0,0.000305408142054,0,0,0,0,0,0,0,0,0,0,0,0,14.49208823221,0,0,0,0,0,0,0,0.47343279531982,0,0
