"","QSLinkID","BlackSpruce0","BlackSpruce10","BlackSpruce100","BlackSpruce120","BlackSpruce140","BlackSpruce20","BlackSpruce40","BlackSpruce60","BlackSpruce80","Deciduous0","Deciduous10","Deciduous100","Deciduous120","Deciduous140","Deciduous20","Deciduous40","Deciduous60","Deciduous80","DeciduousCC10","DeciduousCC20","DeciduousCC40","DeciduousCC60","Larch40","Mixedwood0","Mixedwood10","Mixedwood100","Mixedwood120","Mixedwood140","Mixedwood20","Mixedwood40","Mixedwood60","Mixedwood80","MixedwoodCC10","MixedwoodCC20","MixedwoodCC40","MixedwoodCC60","MixedwoodUP10","MixedwoodUP20","MixedwoodUP40","MixedwoodUP60","Pine10","Pine100","Pine120","Pine140","Pine20","Pine40","Pine60","Pine80","PineCC0","PineCC10","PineCC20","PineCC40","PineCC60","WhiteSpruce0","WhiteSpruce10","WhiteSpruce100","WhiteSpruce120","WhiteSpruce140","WhiteSpruce20","WhiteSpruce40","WhiteSpruce60","WhiteSpruce80","WhiteSpruceCC10","WhiteSpruceCC20","WhiteSpruceCC40","WhiteSpruceCC60","Borrow.Pits.Dugouts.Sumps","Cultivation..Crop.Pasture.Bare.Ground.","Cutblock","Industrial.Site.Rural","Mine.Site","Other.Disturbed.Vegetation","Pipeline","Reservoirs","Road..Hard.Surface","Road..Vegetated.Verge","Road.Trail..Vegetated.","Rural..Residential.Industrial.","Seismic.line","Well.Site"
"1","4-18-70-6-SW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.4283233951701,8.70395595472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","4-18-72-30-NE",0,0,0,0,0,0,0,0,0,0,0,0,0,2.70749300533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07290834634206,0,7.3966364641519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","4-18-72-30-NW",0,0,0,0,0,0,0,0,0,0,0,0,4.5442864302002,1.2605376828915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5347423566667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.732455294967,0,7.72253590889183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","4-18-72-31-NE",0,0,0,0,0,0,0,0,0,0,0,1.84656534215967,0,41.54925215064,0,0,1.42245732101,9.6093915992707,0,0,0,0,0,0,0,0,0,0.0115228413653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.54722113805735,0,0,0,0,0,1.6485724821,0,0,0,0,1.64857203636,0,0,0,0,0,0,0,0,0,0,0
"5","4-18-72-31-NW",0,0,0,0,1.24320552978666,0,0,0,0,0,0,2.03138475628272,2.2521434848563,4.910627556294,0,0,0,0,0,6.715176628249,9.59557212796175,0,0,0,0,0,0,0,0,0,0,0,0,9.40160332959,0.827230678366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.53200422331,0,9.75409060107,0,0,0,0,0,1.678093126252,0,0,0,0,28.2176745185213,0,0,0,0,0,0,0,0,0,0.1052729741482,0
"6","4-18-72-31-SE",0,0,0,0,0,0,0,0,0,0,0,0,0,38.3000074425,0,0,1.00015240445,0,0,0,0,0,0,0,0,0,0,4.82868345002,0.908604775363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.5455220503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","4-18-72-31-SW",0,0,0,0,0,0,0,0,0,0,0,0,18.7366588595738,28.895257572814,0,0,0,0,0,1.067150025251,5.77165923374,0,0,0,0,0,0,0,0,0,0,0,0,0.464078513826,3.096881947617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.432255410665,0.000184065248303,0,0,0,0,6.56360781642,0,0,0,0,16.963377564506,0,0,0,0,0,0,0,0,0,0,0
"8","4-18-72-32-NW",0,0,0,0,0,0,0,0,0,0,0,0,0,3.5261420528318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.94893623683839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","4-18-72-32-SW",0,0,0,0,0,0,0,0,0,0,0,0,0,0.632634732628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142211201718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.84005899385e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","4-18-72-33-NE",0,0,0,0,0,0,0,0,0,0,0,7.6474912738199,0,5.36340194088959,0,0,0,1.21486006121039,0,0,0,0,0,0,0,0,0,1.29791684545763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
