"","QSLinkID","BlackSpruce0","BlackSpruce10","BlackSpruce100","BlackSpruce120","BlackSpruce140","BlackSpruce20","BlackSpruce40","BlackSpruce60","BlackSpruce80","Deciduous0","Deciduous10","Deciduous100","Deciduous120","Deciduous140","Deciduous20","Deciduous40","Deciduous60","Deciduous80","DeciduousCC40","DeciduousCC60","DeciduousCC80","Mixedwood0","Mixedwood10","Mixedwood100","Mixedwood120","Mixedwood140","Mixedwood20","Mixedwood40","Mixedwood60","Mixedwood80","MixedwoodCC40","MixedwoodCC60","MixedwoodCC80","Pine100","Pine120","Pine140","Pine40","Pine60","Pine80","PineCC0","PineCC10","PineCC20","PineCC40","PineCC80","WhiteSpruce0","WhiteSpruce10","WhiteSpruce100","WhiteSpruce120","WhiteSpruce140","WhiteSpruce20","WhiteSpruce40","WhiteSpruce60","WhiteSpruce80","WhiteSpruceCC60","WhiteSpruceCC80","Borrow.Pits.Dugouts.Sumps","Cutblock","Industrial.Site.Rural","Other.Disturbed.Vegetation","Pipeline","Road..Hard.Surface","Road..Vegetated.Verge","Road.Trail..Vegetated.","Rural..Residential.Industrial.","Seismic.line","Transmission.Line","Well.Site"
"12","5-1-84-11-SE",0,0,0,11.5796819559223,7.3065816967233,0,0,0,0,11.8147641746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.877512627592,0,0,0,0,0,0,0,7.1136518985591,0,0,0,0,0,0,0,0,0,0,0,0,0,18.9284160731879,0,0,0,0,0,0,0,0,0,0
"13","5-1-84-11-SW",0,0,0,10.720915849768,17.4066080067198,0,0,0,0,0.0397950334074,4.78460864417,0,9.555608620638,0,0,0,0,0.861383721404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1717768318,6.412184779416,0,0,0,0,0,0,0,11.9570904129319,0,0,0,0,0,0,0,0,0,0,0,0,0,16.7814940905096,0,0,0,0,0,0,0,0,0,0
"14","5-1-84-12-NE",0,0,0,3.424918673818,12.29522728997,0,0,0,0,31.494450100733,0,0,9.602100449549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.86914671804,0,0,0,0,0,0,0,0,0,0,0,0,0,35.363596818785,0,0,0,0,0,0,0,0.44232104028,0,0
"15","5-1-84-12-NW",0,0,0,0.0722308184446,2.275903974033,0,0,0,0,14.6159241140829,0,0,42.8968387396082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0340636631415,0,0,0,0,0,0,0,0,0,0,0,0,0,14.6499877772013,0,0,0,0,0,0,0,0.19789557721202,0,0
"16","5-1-84-12-SE",0,0,0,11.3553479926582,7.286007159982,0,0,0,0,20.463788227,0,0,9.758112140714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.858747466952,0,0,0,0,0,0,0,11.7357856179992,0,0,0,0,0,0,0,0,0,0,0,0,0,32.1995727771797,0,0,0,0,0,0,0,0,0,0
"17","5-1-84-12-SW",0,0,0,3.576420450847,2.611909162261,0,0,0,0,28.1968624597836,0,0,6.913967071309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0457808256725,0,0,0,0,0,0,0,13.261260970952,0,0,0,0,0,0,0,0,0,0,0,0,0,40.4625942108748,0,0,0,0,0,0,0,0,0,1.00157267904
"18","5-1-84-13-NE",0,0,0,6.633846038459,9.50265231509,0,0,0,0,1.05425794258,0,0.637069952642,22.160696821024,0,0,0,0,3.88775614451,0,0,0,0,0,0,1.387935906189,0,0,0,0,0,0,0,0,0,6.6418253958054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.05425704149,0,0,0,0,0,0,0,0.311632683693,0,0
"19","5-1-84-13-NW",0,0,0,10.640223858528,14.8326313450162,0,0,0,0,6.88863090122,0,0,14.990063379217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.97253681412,0,0,0,0,0,0,0,3.883948145776,0,0,0,0,0,0,0,0,0,0,0,0,0,10.772580830734,0,0,0,0,0,0,0,0.3256938482942,0,0
"20","5-1-84-13-SE",0,0,0,1.54362014816,0,0,0,0,0,15.43712187848,0,0,40.2781006723959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3402463131165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.43712187854,0,0,0,0,0,0,0,0,0,0
"21","5-1-84-13-SW",0,0,0,3.50395619278,0,0,0,0,0,4.0634193340379,0,0,57.9392121186822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0634193340367,0,0,0,0,0,0,0,0.475452572681,0,0.126433857601
