"","QSLinkID","BlackSpruce0","BlackSpruce10","BlackSpruce100","BlackSpruce120","BlackSpruce140","BlackSpruce20","BlackSpruce40","BlackSpruce60","BlackSpruce80","Deciduous0","Deciduous10","Deciduous100","Deciduous120","Deciduous140","Deciduous20","Deciduous40","Deciduous60","Deciduous80","DeciduousCC40","DeciduousCC60","DeciduousCC80","Mixedwood0","Mixedwood10","Mixedwood100","Mixedwood120","Mixedwood140","Mixedwood20","Mixedwood40","Mixedwood60","Mixedwood80","MixedwoodCC40","MixedwoodCC60","MixedwoodCC80","Pine100","Pine120","Pine140","Pine80","PineCC0","PineCC10","PineCC20","PineCC40","PineCC60","WhiteSpruce0","WhiteSpruce10","WhiteSpruce100","WhiteSpruce120","WhiteSpruce140","WhiteSpruce20","WhiteSpruce40","WhiteSpruce60","WhiteSpruce80","WhiteSpruceCC40","WhiteSpruceCC60","WhiteSpruceCC80","Borrow.Pits.Dugouts.Sumps","Cultivation..Crop.Pasture.Bare.Ground.","Cutblock","Industrial.Site.Rural","Mine.Site","Other.Disturbed.Vegetation","Pipeline","Road..Hard.Surface","Road..Vegetated.Verge","Road.Trail..Vegetated.","Rural..Residential.Industrial.","Seismic.line","Transmission.Line","Well.Site"
"1","5-1-89-33-NE",0,0,0,5.51046807707e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.04575123145e-06,0,0
"2","5-1-90-1-NE",0,0,0,41.012144954441,5.8886430961408,0,0,0,0,0,0,0,2.08964467051,0,0,0,0,0,0,0,0,0,0,0,0,3.11088888928,0,0,0,0,0,6.05398342318,0,0,0,0,0,0,0,0,0,0,0,3.06755450099,0,0,1.80578008699644,0,0,1.4852923267442,0,0,0,0,0,0,6.0539832579,0,0,0,0,0,0,0,0,1.83773075982058,0,0
"3","5-1-90-1-NW",0,0,0,8.91613023394,0,0,0,0,0,0,15.066776080589,0,0,1.70957528129,0,0,0,0,0,0,0,0,0,0,0,33.9062264140746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.27847164612,0,0,0.259530297648,0,0,0,0,0,0,0,0,0,15.066776080581,0,0,0,0,0,0,0,0,0.79501614880345,0,0
"4","5-1-90-1-SE",0,0,0,0,14.040275209703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09006536386,0,0,0,0,0,16.90907119358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.125348220714,0,0,6.462001941014,0,0,0,0,0,0,16.90907159886,0,0,0,0,0,0,0,0,1.203357820011,0,0
"5","5-1-90-1-SW",0,0,0,0,10.354973913252,0,0,0,0,0,0.00266009334941,0,0,0.3068985510102,0,0,0,0,0,0,0,0,0,1.52676368997,0,21.009510271562,0,0,0,0,0,4.91179218474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.8251430855795,0,0,1.80916502638003,0,0,5.027007563678,0,0,0,9.94145983880279,0,0,0,0,0,0,0,0,2.08591328722935,0,0
"6","5-1-90-10-NE",0,0,0,0,2.621882730916,0,0,0,0,0,24.9767642660177,0,0,0,0,0.0708262257684,0,0,0,0,0,0,0,3.1278925226,1.55920182509,0,0,0,8.45434500729547,0,0,2.86120629287,0,0,0,0,0,0,0,0,0,0,0,0.228708213113,0,0,0,0,0,0,0,0,6.76602991561,0,0,0,34.6748266982154,0,0,0,0,0,0,0,0,0.66005123361178,0,0
"7","5-1-90-10-NW",0,0,0,9.397858855535,0.99578981256,0,0,0,0,0,7.759450000557,0,0,0,0,20.363591946852,0,0,0,0,0,0,0,0,4.8659135988,2.976683560649,0,0,1.07231028974,0,0,0,0,0,0,0,0,0,0,3.86557163514,0.0178490610488,0,0,0,1.781058157823,0,4.70910910458,0,0,0,0,0,0.615794352268,0,0,0,32.6222569960454,0,0,0,0,0,0,0,0,0.87347298595432,0,0
"8","5-1-90-10-SE",0,0,1.26522150262,10.8838512603574,2.916964942184,0,0,0,0,0,21.278980927982,0,0,0,0,0,0,0,0,0,0,0,0.602270594181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.17071513932,1.20379641308,0,0,3.58080295198,0,0,0,0,0,0,0,0,0,0,0,0,37.653492480383,0,0,0,0,0,0,0,0,0.168506312478,0,0
"9","5-1-90-10-SW",0,0,0.134108454263,0.69905488588087,31.6350898200153,0,0,0,0,0,1.17217607109366,0,0,0,0,0,0,0,0,0,0,0,0,2.39315627921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.29438408622,20.4544334365,0,0,1.69636530496,1.215354932597,0,1.507136059161,0,0,0,0,0,0.0273189057198,0,0,0,23.9483124992223,0,0,0,0,0,0,0,0,0.22416321787676,0,0
"10","5-1-90-11-NE",0,0,0,0,36.94064557415,0,0,0,0,0,4.48919353585,0.307613323031,0,0,0,0,0,0,0,0,0,0,0,0,12.61556013944,8.55807368808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.575650665,0,0,0,0,0,0,0,0,0,0,0,0,4.48919353585,0,0,0,0,0,0,0,0,0.481281877469,0,0
"11","5-1-90-11-NW",0,0,0,0,5.670659097626,0,0,0,0,0,13.859688462634,0,0,2.23568643175,0,0,0,0,0,0,0,0,4.4151718696127,0.907124379835,27.1888561319606,0,0,0,0.106610178475264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.61826822234,0,3.8119643913107,0,0,0,0,0,0,0,0,0,0,13.859688462637,0,0,0,0,0,0,0,0,0.7664318830556,0,0
"12","5-1-90-11-SE",0,0,0,0,2.96620536386,0,0,0,0,0,31.43824859443,11.9744417867,0,0.204368146283,0,0,0,0,0,0,0,0,4.37141066966,0,1.54237390872,5.1272865341233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.87874025777,0,0,0,0,0,0,0,0,0,0,0,0,31.43824859444,0,0,0,0,0,0,0,0,0.25178350054805,0,0
"13","5-1-90-11-SW",0,0,0,6.857141238261,10.60202461187,0,0,0,0,0,27.0191787314938,0.198416452079,0,5.27347298486,0,0,0,0,0,0,0,0,8.1242719733101,0,4.31267166284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.73457198679,0,0,0,0,0,0,0,0,0,0,0,0,27.0191787314748,0,0,0,0,0,0,0,0,0.426946529994573,0,0
"14","5-1-90-12-NE",0,0,0,28.686365973266,22.796226868981,0,0,0,0,0,0,0,3.84223599542,1.4521368105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.744293537244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.481247526535,0,0
"15","5-1-90-12-NW",0,0,0,18.021772957118,43.429326358528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.80903588927561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.623429002285,0,0,1.22237112809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81113395975988,0,0
