"","QSLinkID","BlackSpruce0","BlackSpruce10","BlackSpruce100","BlackSpruce120","BlackSpruce140","BlackSpruce20","BlackSpruce40","BlackSpruce60","BlackSpruce80","Deciduous0","Deciduous10","Deciduous100","Deciduous120","Deciduous140","Deciduous20","Deciduous40","Deciduous60","Deciduous80","DeciduousCC100","DeciduousCC40","DeciduousCC60","DeciduousCC80","Larch80","Mixedwood0","Mixedwood10","Mixedwood100","Mixedwood120","Mixedwood140","Mixedwood20","Mixedwood40","Mixedwood60","Mixedwood80","MixedwoodCC100","MixedwoodCC40","MixedwoodCC60","MixedwoodCC80","MixedwoodUP100","MixedwoodUP40","MixedwoodUP60","MixedwoodUP80","Pine100","Pine120","Pine140","Pine40","Pine60","Pine80","PineCC0","PineCC10","PineCC100","PineCC20","PineCC40","PineCC60","PineCC80","WhiteSpruce0","WhiteSpruce10","WhiteSpruce100","WhiteSpruce120","WhiteSpruce140","WhiteSpruce20","WhiteSpruce40","WhiteSpruce60","WhiteSpruce80","WhiteSpruceCC100","WhiteSpruceCC40","WhiteSpruceCC60","WhiteSpruceCC80","Borrow.Pits.Dugouts.Sumps","Cultivation..Crop.Pasture.Bare.Ground.","Cutblock","Industrial.Site.Rural","Mine.Site","Other.Disturbed.Vegetation","Pipeline","Reservoirs","Road..Hard.Surface","Road..Vegetated.Verge","Road.Trail..Vegetated.","Rural..Residential.Industrial.","Seismic.line","Well.Site"
"1","4-18-70-6-SW",0,0,0,0,0,0,0,0,0,0,0,14.4282796039324,8.70395595472,0,4.37912375204e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.37959789976e-05,0,0,0,0,0,0,0,0,0,0,0
"2","4-18-72-30-NE",0,0,0,0,0,0,0,0,0,0,0,0,0,2.70749300533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.44828289200816,0,0,2.0212619184858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","4-18-72-30-NW",0,0,0,0,0,0,0,0,0,0,0,0,0,5.8048241130917,0,0,0,0,0,0,0,0,0,0,0,2.5347423566667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.333902205076,0,0,5.12108899878283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","4-18-72-31-NE",0,0,0,0,0,0,0,0,0,0,0,1.42245732101,9.6093915992709,43.3336023807082,0,0.062215112086942,0,0,0,0,0,0,0,0,0.0115228413653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.59232324728935,0,0,0,0.954897890768,0,0,0,0,0,1.6485724821,0,0,0,1.71078714844705,0,0,0,0,0,0,0,0,0,0,0
"5","4-18-72-31-NW",0,0,0,0,1.24320552978666,0,0,0,0,0,0,0,0,8.1324491800893,0,1.06170661734003,0,0,0,0,6.715176628249,9.59557212796175,0,0,0,0,0,0,0,0,0,0,0,0,9.40160332959,0.827230678366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.28609482438,0,0,0,0,0,1.678093126252,0,0,0,29.2793811358144,0,0,0,0,0,0,0,0,0,0.1052729742081,0
"6","4-18-72-31-SE",0,0,0,0,0,0,0,0,0,0,0,1.00015240445,0,38.3000074425,0,0,0,0,0,0,0,0,0,0,4.82868345002,0,0,0,0,0,0.908604775363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.65642614557,0,0,2.88909590473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","4-18-72-31-SW",0,0,0,0,0,0,0,0,0,0,0,0,0,47.6319164323878,0,0,0,0,0,0,1.067150025251,5.77165923374,0,0,0,0,0,0,0,0,0,0,0,0,0.464078513826,3.096881947617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.432255410665,0,0,0,0,0,0.000184065248303,0,0,0,6.56360781642,0,0,0,16.963377564523,0,0,0,0,0,0,0,0,0,0,0
"8","4-18-72-32-NW",0,0,0,0,0,0,0,0,0,0,0,0,0,3.5261420528318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.94431816515962,0,0,3.00461807167877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","4-18-72-32-SW",0,0,0,0,0,0,0,0,0,0,0,0,0,0.632634732628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142211201718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.84005899385e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","4-18-72-33-NE",0,0,0,0,0,0,0,0,0,0,0,0,1.21486006121039,13.0108932147095,0,0,0,0,0,0,0,0,0,1.29791684545763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
